year,selected_rows,invalid_ohlc_selected_rows,invalid_limit_selected_rows,vwap_unit_outlier_selected_rows,failed_selected_rows,warning_selected_rows,invalid_ohlc_selected_ratio,invalid_limit_selected_ratio,vwap_unit_outlier_selected_ratio,failed_selected_ratio,warning_selected_ratio
2018,285997,1281,6895,10114,6900,7853,0.004479067962251352,0.02410864449627094,0.035364007314762046,0.02412612719713843,0.027458329982482335
2019,313138,1307,6772,7807,6772,5734,0.0041738786094309855,0.02162624785238457,0.024931499849906433,0.02162624785238457,0.018311415414290187
2020,336284,1214,8567,4819,8572,3082,0.0036100438914726837,0.02547549095407453,0.014330149516480118,0.02549035933913002,0.009164872548203305
2021,361950,172,7651,1850,7653,1423,0.0004752037574250587,0.021138278767785606,0.0051112032048625505,0.021143804392871942,0.00393148224892941
2022,385215,1,4909,746,4909,679,2.5959529094142232e-06,0.012743532832314422,0.0019365808704230106,0.012743532832314422,0.0017626520254922576
2023,406978,0,2500,105,2500,120,0.0,0.006142838187813592,0.00025799920388817085,0.006142838187813592,0.00029485623301505243
2024,420529,0,4889,0,4889,47,0.0,0.011625833176784478,0.0,0.011625833176784478,0.0001117639924951668
2025,429959,0,4347,0,4347,28,0.0,0.01011026632771962,0.0,0.01011026632771962,6.512248842331478e-05
2026,200758,0,2080,0,2080,23,0.0,0.010360732822602338,0.0,0.010360732822602338,0.00011456579563454508
