year,selected_rows,invalid_ohlc_selected_rows,invalid_limit_selected_rows,vwap_unit_outlier_selected_rows,failed_selected_rows,warning_selected_rows,invalid_ohlc_selected_ratio,invalid_limit_selected_ratio,vwap_unit_outlier_selected_ratio,failed_selected_ratio,warning_selected_ratio
2018,70968,345,1988,1831,1991,1337,0.004861345958741968,0.02801262540863488,0.025800360725960998,0.028054897982189155,0.018839476947356555
2019,71091,131,1774,1287,1774,935,0.0018427086410375433,0.02495393228397406,0.018103557412330676,0.02495393228397406,0.013152157094428268
2020,68582,142,1984,882,1985,634,0.002070514129071768,0.02892887346534076,0.01286051733691056,0.02894345455075676,0.009244408153742965
2021,68643,0,1928,268,1928,235,0.0,0.02808735049458794,0.0039042582637705226,0.02808735049458794,0.0034235100447241526
2022,69484,0,1573,0,1573,16,0.0,0.02263830522134592,0.0,0.02263830522134592,0.00023026883886938
2023,69824,0,735,0,735,5,0.0,0.010526466544454629,0.0,0.010526466544454629,7.160861594867094e-05
2024,71558,0,1330,0,1330,15,0.0,0.01858632158528746,0.0,0.01858632158528746,0.0002096201682551217
2025,72434,0,1377,0,1377,14,0.0,0.01901040947621283,0.0,0.01901040947621283,0.00019327939917718198
2026,33148,0,650,0,650,8,0.0,0.01960902618559189,0.0,0.01960902618559189,0.00024134186074574636
