date,industry,weight
2025-01-03,C 制造业,0.4178896380259746
2025-01-03,unknown,0.3037885904308566
2025-01-03,I 信息技术,0.09497159847784051
2025-01-03,M 科研服务,0.037971073873858105
2025-01-03,J 金融业,0.0379423956203635
2025-01-03,L 商务服务,0.0190045028062187
2025-01-03,F 批发零售,0.0189999117706907
2025-01-03,S 综合,0.0189962394654172
2025-01-06,C 制造业,0.4154609022488887
2025-01-06,unknown,0.28906910403138353
2025-01-06,I 信息技术,0.1891107814546901
2025-01-06,J 金融业,0.037700924508700495
2025-01-06,M 科研服务,0.019227714883599
2025-01-06,L 商务服务,0.018862460568085
2025-01-06,S 综合,0.0186278597209466
2025-01-07,C 制造业,0.3972458179561758
2025-01-07,unknown,0.3289099008857349
2025-01-07,I 信息技术,0.169557055101861
2025-01-07,F 批发零售,0.0191620037398966
2025-01-07,M 科研服务,0.0189210913457749
2025-01-07,L 商务服务,0.0188178678813456
2025-01-07,J 金融业,0.0187131067618057
2025-01-07,S 综合,0.0185686759893718
2025-01-08,C 制造业,0.4756706241454719
2025-01-08,unknown,0.2500745118659724
2025-01-08,I 信息技术,0.1499762643877647
2025-01-08,L 商务服务,0.0381722481540585
2025-01-08,M 科研服务,0.0194644754802158
2025-01-08,S 综合,0.0193766346498337
2025-01-08,F 批发零售,0.0185660548044877
2025-01-08,J 金融业,0.0184144654014394
2025-01-09,C 制造业,0.3733940344755681
2025-01-09,unknown,0.3330498219256455
2025-01-09,I 信息技术,0.1476978236544641
2025-01-09,L 商务服务,0.0398257732115765
2025-01-09,M 科研服务,0.0395375313663849
2025-01-09,S 综合,0.0194699594902343
2025-01-09,F 批发零售,0.01829455849743
2025-01-09,J 金融业,0.0181417121479545
2025-01-10,C 制造业,0.41243391352718317
2025-01-10,unknown,0.2933195333649337
2025-01-10,I 信息技术,0.1667172894161342
2025-01-10,M 科研服务,0.0404218688511351
2025-01-10,L 商务服务,0.0393567977151001
2025-01-10,S 综合,0.0188007388015696
2025-01-10,F 批发零售,0.0179059720476846
2025-01-13,C 制造业,0.3949688915098672
2025-01-13,unknown,0.3335851679031111
2025-01-13,I 信息技术,0.14466070096864259
2025-01-13,M 科研服务,0.0403178076455364
2025-01-13,K 房地产,0.020209218832478
2025-01-13,S 综合,0.0189197995617311
2025-01-13,L 商务服务,0.0185724025088717
2025-01-13,F 批发零售,0.0181466201621408
2025-01-14,C 制造业,0.3727757468703193
2025-01-14,unknown,0.3328090173985096
2025-01-14,I 信息技术,0.1886308332301695
2025-01-14,M 科研服务,0.020144030503546
2025-01-14,K 房地产,0.0200444318873845
2025-01-14,S 综合,0.0187937827044384
2025-01-14,L 商务服务,0.0185175233725892
2025-01-14,F 批发零售,0.0177085774754406
2025-01-15,C 制造业,0.390374645601707
2025-01-15,unknown,0.3140197064965986
2025-01-15,I 信息技术,0.1900973153271213
2025-01-15,M 科研服务,0.0200296590312392
2025-01-15,K 房地产,0.0198192636109242
2025-01-15,S 综合,0.0189979194442124
2025-01-15,L 商务服务,0.0186390052293655
2025-01-15,F 批发零售,0.0174051036833739
2025-01-16,C 制造业,0.4103681549611497
2025-01-16,unknown,0.23607216190866132
2025-01-16,I 信息技术,0.1647025162962351
2025-01-16,F 批发零售,0.058810012984062396
2025-01-16,M 科研服务,0.0405695447671019
2025-01-16,L 商务服务,0.0394711183098537
2025-01-16,K 房地产,0.0203973748197052
2025-01-16,S 综合,0.018595207510059
2025-01-17,C 制造业,0.3958831821074272
2025-01-17,unknown,0.2546468281262463
2025-01-17,I 信息技术,0.2021746738189694
2025-01-17,M 科研服务,0.0606998700479097
2025-01-17,F 批发零售,0.038049872533808995
2025-01-17,S 综合,0.0195439223943618
2025-01-17,L 商务服务,0.0184065157094871
2025-01-20,C 制造业,0.454848437361016
2025-01-20,unknown,0.2756622785784637
2025-01-20,I 信息技术,0.142018606906674
2025-01-20,M 科研服务,0.060394036465720904
2025-01-20,F 批发零售,0.0379571513755817
2025-01-20,L 商务服务,0.0182334719394208
2025-01-21,C 制造业,0.4595169996946117
2025-01-21,unknown,0.2942012973385548
2025-01-21,I 信息技术,0.1187612602788995
2025-01-21,M 科研服务,0.060881271783942495
2025-01-21,F 批发零售,0.0375881444197778
2025-01-21,L 商务服务,0.0182361085739082
2025-01-22,C 制造业,0.3923610963566766
2025-01-22,unknown,0.3395100768845963
2025-01-22,I 信息技术,0.1191381917120398
2025-01-22,M 科研服务,0.0613555288972969
2025-01-22,F 批发零售,0.0375281130942393
2025-01-22,K 房地产,0.0207096977629477
2025-01-22,L 商务服务,0.0181624522462401
2025-01-23,C 制造业,0.390681663468021
2025-01-23,unknown,0.3212390576931473
2025-01-23,I 信息技术,0.1402232451681556
2025-01-23,M 科研服务,0.0611435161074682
2025-01-23,F 批发零售,0.0577735753086516
2025-01-23,L 商务服务,0.0181823632865558
2025-01-24,C 制造业,0.3896840557614114
2025-01-24,unknown,0.280313972541747
2025-01-24,I 信息技术,0.1422276634180558
2025-01-24,M 科研服务,0.0601618079328166
2025-01-24,F 批发零售,0.05737357932752141
2025-01-24,J 金融业,0.0204559723978828
2025-01-24,S 综合,0.0204552757492613
2025-01-24,L 商务服务,0.0184884730497116
2025-01-27,C 制造业,0.3476503748719736
2025-01-27,unknown,0.2820526177306306
2025-01-27,I 信息技术,0.2029174909085528
2025-01-27,F 批发零售,0.05741086380659349
2025-01-27,M 科研服务,0.039908287336989506
2025-01-27,J 金融业,0.0205200013369017
2025-01-27,S 综合,0.0204488268987282
2025-01-27,L 商务服务,0.0184034831211877
