year,selected_rows,invalid_ohlc_selected_rows,invalid_limit_selected_rows,vwap_unit_outlier_selected_rows,failed_selected_rows,warning_selected_rows,invalid_ohlc_selected_ratio,invalid_limit_selected_ratio,vwap_unit_outlier_selected_ratio,failed_selected_ratio,warning_selected_ratio
2018,56161,660,1853,3441,1854,2393,0.01175192749416855,0.03299442673741564,0.061270276526415125,0.03301223268816438,0.04260964014173537
2019,59662,577,1598,2534,1598,1691,0.009671147464047467,0.026784217760048273,0.04247259562200396,0.026784217760048273,0.028342998893768227
2020,62763,756,2039,1708,2042,754,0.012045313321542947,0.0324872934690821,0.027213485652374806,0.03253509233146918,0.012013447413284898
2021,66195,40,1361,427,1361,263,0.0006042752473751794,0.02056046529194048,0.00645063826573004,0.02056046529194048,0.003973109751491804
2022,68578,1,621,407,621,321,1.4581935897809793e-05,0.009055382192539882,0.005934847910408586,0.009055382192539882,0.004680801423196944
2023,71140,0,357,105,357,102,0.0,0.005018273826258083,0.0014759628900759066,0.005018273826258083,0.0014337925217880235
2024,71795,0,551,0,551,4,0.0,0.007674629152447942,0.0,0.007674629152447942,5.571418622466746e-05
2025,72238,0,424,0,424,0,0.0,0.005869486973614995,0.0,0.005869486973614995,0.0
2026,33509,0,209,0,209,3,0.0,0.006237130323196753,0.0,0.006237130323196753,8.952818645736966e-05
