date,open,high,low,close,volume,amount,symbol,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,previous_amount,amount_pct_change
2018-06-25,11.08,11.77,11.08,11.08,550768000.0,7482723584.0,000063.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:16.506291+00:00,,share,,1.0,False,False,1997-11-18,False,C 制造业,13.838000000000001,11.322000000000001,True,True,True,False,True,True,7524,False,1238140581.15,True,,True,akshare_metadata_cache,,123625446.0,59.52737382237634
2020-05-08,-3.5,-3.44,-3.5,-3.5,47497100.0,176411485.0,000408.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:17.019022+00:00,,share,,1.0,False,False,1996-06-28,False,C 制造业,-3.63,-2.9699999999999998,False,True,True,False,True,True,8715,False,62054976.15,True,,True,akshare_metadata_cache,,2718232.0,63.8993481792577
2020-05-20,-2.56,-2.56,-2.76,-2.64,45192300.0,207431989.0,000408.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:17.019022+00:00,,share,,1.0,False,False,1996-06-28,False,C 制造业,-3.058,-2.502,False,True,True,False,True,True,8727,False,66074747.0,True,,True,akshare_metadata_cache,,2121527.0,96.7748522644303
2021-01-27,2.35,2.35,2.01,2.35,47315500.0,451267312.0,000408.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:17.019022+00:00,,share,,1.0,False,False,1996-06-28,False,C 制造业,2.079,1.7009999999999998,True,True,True,False,True,True,8979,False,74953934.95,True,,True,akshare_metadata_cache,,10092464.0,43.7132941965411
2019-04-10,39.1,39.1,36.54,39.1,322875000.0,18195734528.0,000651.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:17.578914+00:00,,share,,1.0,False,False,1996-11-18,False,C 制造业,37.301,30.519,True,True,True,False,True,True,8178,False,3187435281.6,True,,True,akshare_metadata_cache,,563110336.0,31.31291163513646
2021-08-10,39.22,43.9,32.41,35.9,785246100.0,29924287232.0,000792.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:17.569399+00:00,,share,,1.0,False,False,1997-09-04,False,C 制造业,9.724,7.956,True,True,True,False,True,True,8741,False,1618847947.4,True,,True,akshare_metadata_cache,,296434464.0,99.94739602207657
2018-07-20,9.75,9.75,8.87,9.12,399570800.0,4441048320.0,002027.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:18.620518+00:00,,share,,1.0,False,False,2004-08-04,False,L 商务服务,9.988000000000001,8.172,True,True,True,True,True,True,5098,False,770046670.0,True,,True,akshare_metadata_cache,,201196456.0,21.073193575536937
2018-09-06,15.77,15.77,14.71,15.46,75415800.0,1316592576.0,002028.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:18.614511+00:00,,share,,1.0,False,False,2004-08-05,False,C 制造业,15.587000000000002,12.753,True,True,True,True,True,True,5145,False,92972508.2,True,,True,akshare_metadata_cache,,28121988.0,45.81719428939377
2020-02-25,17.8,19.57,16.84,18.74,109331500.0,2258273696.0,002028.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:18.614511+00:00,,share,,1.0,False,False,2004-08-05,False,C 制造业,19.404000000000003,15.876000000000001,True,True,True,True,True,True,5682,False,340076309.0,True,,True,akshare_metadata_cache,,84435171.0,25.74565195112828
2019-06-04,34.45,36.5,33.03,33.66,95744400.0,4834312960.0,002049.SZ,eastmoney,False,qfq,1,2026-06-28T07:45:18.776726+00:00,,share,,1.0,False,False,2005-06-06,False,C 制造业,37.598000000000006,30.762,True,True,True,True,True,True,5111,False,1056920419.1,True,,True,akshare_metadata_cache,,86985646.0,54.575985030909585
