date,symbol,is_selected,quality_status,quality_flags_x,open,high,low,close,volume,amount,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags_y,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,year
2018-01-02,600546.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.4,-0.24,-0.43,-0.3,18013400.0,89564087.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-0.33,-0.27,False,True,True,False,True,True,5269.0,False,89564087.0,True,335.0,True,akshare_metadata_cache,,2018
2018-01-02,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.77,-0.4,-0.82,-0.44,200203300.0,1690044240.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.48400000000000004,-0.396,False,True,True,False,True,False,1435.0,False,1690044240.0,True,15.0,True,eastmoney_board_industry,2026-06-28,2018
2018-01-03,600546.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.29,-0.23,-0.34,-0.28,13261600.0,66219088.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-0.33,-0.27,False,True,True,False,True,True,5270.0,False,77891587.5,True,417.0,True,akshare_metadata_cache,,2018
2018-01-03,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.5,-0.2,-0.52,-0.41,136180000.0,1187363264.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.48400000000000004,-0.396,False,True,True,False,True,False,1436.0,False,1438703752.0,True,19.0,True,eastmoney_board_industry,2026-06-28,2018
2018-01-04,600546.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.3,-0.2,-0.32,-0.25,13821100.0,69347665.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-0.30800000000000005,-0.25200000000000006,False,True,True,False,True,True,5271.0,False,75043613.33333333,True,432.0,True,akshare_metadata_cache,,2018
2018-01-04,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.35,-0.11,-0.39,-0.16,96847100.0,852904192.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.451,-0.369,False,True,True,False,True,False,1437.0,False,1243437232.0,True,23.0,True,eastmoney_board_industry,2026-06-28,2018
2018-01-05,600546.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.26,-0.23,-0.36,-0.33,10945500.0,54494952.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-0.275,-0.225,False,True,True,False,True,True,5272.0,False,69906448.0,True,453.0,True,akshare_metadata_cache,,2018
2018-01-05,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.18,-0.12,-0.3,-0.2,73503800.0,648554864.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.17600000000000002,-0.14400000000000002,False,True,True,False,True,False,1438.0,False,1094716640.0,True,29.0,True,eastmoney_board_industry,2026-06-28,2018
2018-01-08,600546.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.3,0.17,-0.3,0.07,53939300.0,286405696.0,eastmoney,False,qfq,1,2026-06-28T08:49:10.810359+00:00,,share,,1.0,False,False,2003-07-31,False,煤炭,-0.36300000000000004,-0.29700000000000004,False,True,True,False,True,True,5275.0,False,113206297.6,True,318.0,True,akshare_metadata_cache,,2018
2018-01-08,601225.SH,True,failed,invalid_limit;invalid_ohlc;vwap_unit_outlier,-0.14,0.59,-0.16,0.35,210649900.0,1953081424.0,eastmoney,False,qfq,1,2026-06-28T07:56:35.158153+00:00,,share,,1.0,False,False,2014-01-28,False,煤炭,-0.22000000000000003,-0.18000000000000002,False,True,True,False,True,False,1441.0,False,1266389596.8,True,23.0,True,eastmoney_board_industry,2026-06-28,2018
