year,selected_rows,invalid_ohlc_selected_rows,invalid_limit_selected_rows,vwap_unit_outlier_selected_rows,failed_selected_rows,warning_selected_rows,invalid_ohlc_selected_ratio,invalid_limit_selected_ratio,vwap_unit_outlier_selected_ratio,failed_selected_ratio,warning_selected_ratio
2018,117621,411,3221,2412,3223,1772,0.0034942739816869435,0.027384565681298406,0.0205065421990971,0.02740156944763265,0.01506533697213933
2019,117748,145,2969,1479,2969,1096,0.001231443421544315,0.025214865645276353,0.012560722899752012,0.025214865645276353,0.009308013724224615
2020,114228,137,3181,902,3182,700,0.0011993556746156808,0.02784781314563855,0.007896487726301783,0.027856567566621145,0.006128094687817348
2021,114839,0,3411,266,3411,232,0.0,0.029702452999416575,0.0023162862790515417,0.029702452999416575,0.002020219611804352
2022,116331,1,2727,73,2727,74,8.596160954517713e-06,0.023441730922969802,0.000627519749679793,0.023441730922969802,0.0006361159106343107
2023,116386,0,1366,12,1366,20,0.0,0.011736806832436891,0.00010310518447235922,0.011736806832436891,0.0001718419741205987
2024,119217,0,2347,0,2347,26,0.0,0.019686789635706317,0.0,0.019686789635706317,0.0002180897019720342
2025,120284,0,2348,0,2348,21,0.0,0.019520468225200358,0.0,0.019520468225200358,0.00017458681121346146
2026,55381,0,1160,0,1160,12,0.0,0.020945811740488617,0.0,0.020945811740488617,0.00021668081110850292
