symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
002133.SZ,eastmoney,1.0,False,eastmoney,,
002144.SZ,eastmoney,1.0,False,eastmoney,,
002145.SZ,eastmoney,1.0,False,eastmoney,,
002148.SZ,eastmoney,1.0,False,eastmoney,,
002154.SZ,eastmoney,1.0,False,eastmoney,,
002166.SZ,eastmoney,1.0,False,eastmoney,,
002169.SZ,eastmoney,1.0,False,eastmoney,,
002171.SZ,eastmoney,1.0,False,eastmoney,,
002179.SZ,eastmoney,1.0,False,eastmoney,,
002184.SZ,eastmoney,1.0,False,eastmoney,,
002186.SZ,eastmoney,1.0,False,eastmoney,,
002188.SZ,eastmoney,1.0,False,eastmoney,,
002189.SZ,eastmoney,1.0,False,eastmoney,,
002192.SZ,eastmoney,1.0,False,eastmoney,,
002195.SZ,eastmoney,1.0,False,eastmoney,,
002201.SZ,eastmoney,1.0,False,eastmoney,,
002212.SZ,eastmoney,1.0,False,eastmoney,,
002213.SZ,eastmoney,1.0,False,eastmoney,,
002233.SZ,eastmoney,1.0,False,eastmoney,,
002234.SZ,eastmoney,1.0,False,eastmoney,,
002235.SZ,eastmoney,1.0,False,eastmoney,,
002244.SZ,eastmoney,1.0,False,eastmoney,,
002248.SZ,eastmoney,1.0,False,eastmoney,,
002252.SZ,eastmoney,1.0,False,eastmoney,,
002253.SZ,eastmoney,1.0,False,eastmoney,,
002254.SZ,eastmoney,1.0,False,eastmoney,,
002264.SZ,eastmoney,1.0,False,eastmoney,,
002266.SZ,eastmoney,1.0,False,eastmoney,,
002267.SZ,eastmoney,1.0,False,eastmoney,,
002270.SZ,eastmoney,1.0,False,eastmoney,,
002275.SZ,eastmoney,1.0,False,eastmoney,,
002281.SZ,eastmoney,1.0,False,eastmoney,,
002291.SZ,eastmoney,1.0,False,eastmoney,,
002303.SZ,eastmoney,1.0,False,eastmoney,,
002304.SZ,eastmoney,1.0,False,eastmoney,,
002314.SZ,eastmoney,1.0,False,eastmoney,,
002317.SZ,eastmoney,1.0,False,eastmoney,,
002326.SZ,eastmoney,1.0,False,eastmoney,,
002333.SZ,eastmoney,1.0,False,eastmoney,,
002353.SZ,eastmoney,1.0,False,eastmoney,,
002356.SZ,eastmoney,1.0,False,eastmoney,,
002361.SZ,eastmoney,1.0,False,eastmoney,,
002367.SZ,eastmoney,1.0,False,eastmoney,,
002368.SZ,eastmoney,1.0,False,eastmoney,,
002372.SZ,eastmoney,1.0,False,eastmoney,,
