date,position_count,unknown_position_count,gross_weight,unknown_weight,unknown_position_ratio,unknown_weight_ratio,path
2025-03-17,50,0,0.9888449003623863,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-18,50,0,0.9891486235410405,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-19,50,0,0.9893044445401414,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-20,50,0,0.9896058157114348,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-21,50,0,0.9890462342818068,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-24,50,0,0.9895143756534271,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-25,50,0,0.9890922726994126,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-26,50,0,0.9896213630845885,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-27,50,0,0.9897717675770058,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-28,50,0,0.9893348545810419,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-03-31,50,0,0.989245638096418,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-01,50,0,0.9894915914956965,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-02,50,0,0.9891594986487713,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-03,50,0,0.9894816121092592,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-07,50,0,0.9895016645075903,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-08,50,0,0.9897145576522953,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-09,50,0,0.9889745242395583,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-10,50,0,0.9890486074688054,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-11,50,0,0.9896210425243694,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-14,50,0,0.9891911922628895,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-15,50,0,0.9893582621530116,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-16,50,0,0.9893579777255046,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-17,50,0,0.9892805491114334,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-18,50,0,0.9893886623659887,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-21,50,0,0.9894557245269409,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-22,50,0,0.989607800773164,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-23,50,0,0.9897064259363554,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-24,50,0,0.9892989535272401,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-25,50,0,0.9891747737115817,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-28,50,0,0.9894607667412791,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-29,50,0,0.9895322861547816,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-04-30,50,0,0.9894784471330891,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-06,50,0,0.9896042539077899,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-07,50,0,0.9890967254730678,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-08,50,0,0.9893073210976275,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-09,50,0,0.9890333283703423,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-12,50,0,0.9891870827900598,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-13,50,0,0.9896136486412163,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-14,50,0,0.989095047564166,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-15,50,0,0.9890915731651169,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-16,50,0,0.9891966165096863,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-19,50,0,0.9893229783800556,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-20,50,0,0.9893880650763389,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-21,50,0,0.9896539483014059,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-22,50,0,0.9897277875786012,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-23,50,0,0.9894337639235417,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-26,50,0,0.9892873398964116,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-27,50,0,0.9891580993707041,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-28,50,0,0.989202103771256,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-29,50,0,0.9892507341456659,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-05-30,50,0,0.9893699103119956,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-03,50,0,0.9895008261054561,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-04,50,0,0.9895077388197671,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-05,50,0,0.989198859964259,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-06,50,0,0.9894839470937487,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-09,50,0,0.9893255732822291,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-10,50,0,0.9892261842674837,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-11,50,0,0.9894967271241495,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-12,50,0,0.9895216458089252,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-13,50,0,0.9891839286237638,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-16,50,0,0.9892445189785248,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-17,50,0,0.9893115617073563,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-18,50,0,0.9893972171329591,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-19,50,0,0.989708420921331,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-20,50,0,0.9895807995396274,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-23,50,0,0.9890213575132549,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-24,50,0,0.9893147495053572,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-25,50,0,0.9895124058903638,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-26,50,0,0.9894559480523233,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-27,50,0,0.9894802281358982,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-06-30,50,0,0.9891506518306125,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-01,50,0,0.9895818871450829,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-02,50,0,0.9895726966147831,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-03,50,0,0.9893623372975135,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-04,50,0,0.9893940952238068,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-07,50,0,0.9896143565800084,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-08,50,0,0.9893865551281998,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-09,50,0,0.9893986001882978,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-10,50,0,0.9895831469085579,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-11,50,0,0.9893800175860065,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
2025-07-14,50,0,0.9891495630787568,0.0,0.0,0.0,data\dynamic_candidate1000_top300_2018_2026_bars.parquet
