date,rows,selected_count,unknown_rows,unknown_selected_count,unknown_row_ratio,unknown_selected_ratio,path
2018-04-20,231,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-04-23,230,227,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-04-24,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-04-25,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-04-26,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-04-27,232,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-02,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-03,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-04,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-07,230,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-08,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-09,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-10,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-11,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-14,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-15,230,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-16,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-17,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-18,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-21,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-22,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-23,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-24,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-25,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-28,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-29,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-30,232,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-05-31,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-01,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-04,232,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-05,232,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-06,231,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-07,230,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-08,231,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-11,232,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-12,231,228,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-13,232,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-14,232,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-15,233,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-19,233,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-20,235,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-21,235,231,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-22,235,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-25,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-26,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-27,235,229,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
2018-06-28,236,230,0,0,0.0,0.0,data\hs300_current_2018_2026_bars.parquet
