data_type,synthetic_data,mock_data,download_source,scenario,universe_name,model,model_key,topk,n_drop,rebalance_step,window_count,positive_excess_windows,positive_excess_ratio,mean_excess_annualized,median_excess_annualized,min_excess_annualized,max_excess_annualized,mean_IR,min_IR,worst_drawdown,y2026_excess,y2026_IR,mean_turnover,data_quality_status,industry_quality_status,conclusion_tag
real_akshare,False,False,akshare,monthly_topk50_drop10,dynamic_candidate1000_top300_2018_2026,Alpha158 + LightGBM,alpha158_lgb,50,10,20,5,3,0.6,-0.018647513174224705,0.0734851732019993,-0.3707041717715126,0.1943048368971829,-0.2290687838931142,-2.780304003411891,-0.151705355398915,-0.3707041717715126,-2.780304003411891,0.021480610702731162,passed,passed,mostly_positive_but_recent_weakness
real_akshare,False,False,akshare,weekly_topk50_drop10,dynamic_candidate1000_top300_2018_2026,Alpha158 + LightGBM,alpha158_lgb,50,10,5,5,4,0.8,0.003644814275736652,0.0095210732807048,-0.3743730175080911,0.2125269831519867,0.06174173549980431,-3.020417680313188,-0.1672442396036172,-0.3743730175080911,-3.020417680313188,0.0823528726116043,passed,passed,mostly_positive_but_recent_weakness
