date,portfolio_beta_to_hs300,portfolio_beta_to_csi500,portfolio_beta_to_csi1000,avg_stock_volatility,avg_market_cap,median_market_cap,market_cap_available,industry_weight_top1,industry_weight_top3,cash_weight,top10_weight
2023-01-03,,,,0.5562285084657858,,,False,0.25661551444349884,0.35344096202095043,0.5340067461688043,0.10128048208431262
2023-01-04,,,,0.5535173508846537,,,False,0.25426942427572846,0.3526023675101737,0.5338966193803132,0.10197695065368967
2023-01-05,,,,0.551237938046938,,,False,0.2565665392240364,0.3547107881102386,0.5308850508535397,0.10296374493259951
2023-01-06,,,,0.5497596909937962,,,False,0.2579339610777248,0.3551286144592354,0.5306663683057217,0.10318809973234871
2023-01-09,,,,0.5477796129415601,,,False,0.2584117766586689,0.35586466536003375,0.5288742576631561,0.10411813025415381
2023-01-10,,,,0.544790519256353,,,False,0.2589767693064698,0.3558816771813395,0.5301168136333156,0.10391206504234929
2023-01-11,,,,0.5422095201987458,,,False,0.2559805697483131,0.3526050120162778,0.5328329982895611,0.10404171414356785
2023-01-12,,,,0.5391879483558412,,,False,0.2549542064314636,0.35096305908481173,0.5347741506495828,0.10361820159897431
2023-01-13,,,,0.5347927731698597,,,False,0.25373718351967967,0.3508541101164828,0.5344756882793379,0.10385374908134481
2023-01-16,,,,0.5345979379996402,,,False,0.2545187758790688,0.3524597175648259,0.5322061752142895,0.10457145284745448
2023-01-17,,,,0.5316389808655964,,,False,0.25423366960888744,0.3520035604111291,0.5336186065546475,0.10452056565841239
2023-01-18,,,,0.5294839878468923,,,False,0.2546966540697434,0.353357244997006,0.531409581214683,0.10539903415409993
2023-01-19,,,,0.5234631246317534,,,False,0.2534469367605517,0.35222027872526984,0.5321758149316176,0.1052539747773199
2023-01-20,,,,0.5213525304314763,,,False,0.25467846263972466,0.354792475350989,0.5280262724135596,0.10610106254149404
2023-01-30,,,,0.5175518711791336,,,False,0.25853367823233225,0.35908621620764103,0.5234609197905468,0.10908154789285728
2023-01-31,,,,0.5158292693614435,,,False,0.2612527378461333,0.3601055690427059,0.5227554152942345,0.10922630626481744
2023-02-01,,,,0.5783643762697014,,,False,0.5819958816859547,0.6793387516342877,0.030160509883895348,0.20126579801605335
2023-02-02,,,,0.576196603603987,,,False,0.5823367977623386,0.680214150642193,0.029780727574261413,0.20347690569087673
2023-02-03,,,,0.5749742020981526,,,False,0.5809706099365478,0.6791396627785267,0.03011300673120055,0.20431225693344357
2023-02-06,0.3098594689519424,0.7524001377123163,0.6668037867329518,0.571996068247855,,,False,0.5789838377087305,0.6767297139855573,0.030202764691488537,0.20716800832305615
2023-02-07,0.31230947279138976,0.7576902208370421,0.6663728325243874,0.5688561371787004,,,False,0.5786632117152802,0.6763044738916753,0.030253852905373777,0.2067238950087012
2023-02-08,0.32470665532905424,0.7070255596002685,0.638237304962903,0.567820884599642,,,False,0.5799852670930148,0.6769651072438085,0.03033501692076706,0.2066305916492187
2023-02-09,0.32192935626952485,0.6581088134861881,0.5828247679396289,0.563994743542583,,,False,0.5794168297713046,0.6766645107827975,0.030181910732915672,0.2072980961056733
2023-02-10,0.294917037979035,0.6134626737094222,0.5417099620745923,0.561308192054093,,,False,0.5774789925844055,0.6742004786390288,0.030053130473254707,0.208949714345664
2023-02-13,0.35661229999422167,0.6809497921720569,0.6077676095749632,0.5598196710998754,,,False,0.5787092430392029,0.6755890192242012,0.029464434148584066,0.21235610624154713
2023-02-14,0.3617184917456178,0.6856684054755849,0.6136337131390089,0.5552799538510378,,,False,0.5805143683354466,0.6777872602410111,0.02951525809278498,0.21414100850042075
2023-02-15,0.39156404522782573,0.7155525775840226,0.6338170262081302,0.5503768281869119,,,False,0.5803464417974733,0.6783403460260069,0.02971948095981977,0.2140297154750376
2023-02-16,0.4471649591801469,0.735569686657466,0.6247257122167228,0.5490378423316535,,,False,0.5803135120835141,0.6781793230040646,0.03008422721599486,0.2141643964998455
2023-02-17,0.2929096072965651,0.5867916022346215,0.5170293417417882,0.5538720702038235,,,False,0.5842714932360188,0.680899009823833,0.029658569244374797,0.21499777283554578
2023-02-20,0.2250588684751387,0.4981228998436902,0.4890581077472466,0.5496472857995944,,,False,0.5833220389352484,0.6798473485373567,0.029623458011435472,0.21358002161544035
2023-02-21,0.22423807621362157,0.4852108938875277,0.4864491394769633,0.5457656116802915,,,False,0.5815914263843582,0.6799696312146846,0.02971654678733601,0.2131266061309327
2023-02-22,0.21090338940512707,0.47882498640417664,0.48447256645248843,0.5424501255090082,,,False,0.5838803433877738,0.6819116821323161,0.02963443002175242,0.21377633756754846
2023-02-23,0.21579316437109497,0.48790632503354076,0.4905093558819716,0.5380132962178531,,,False,0.5839642540318069,0.6824676160236776,0.0297407080800731,0.21575788702219406
2023-02-24,0.23316126633905143,0.5005363339136641,0.5004071012275629,0.5354043965248554,,,False,0.5828773015933439,0.6811742774833305,0.029887974662446307,0.2164536461613021
2023-02-27,0.2435163191986774,0.5124203922918591,0.5069420332502657,0.5336121055057067,,,False,0.5808312872543452,0.6792124094798647,0.030039276392905365,0.21850463784764165
2023-02-28,0.26411317695288444,0.5446766474198703,0.5322782945721897,0.531944904535576,,,False,0.5836991006240783,0.6822903782513039,0.029599847164715278,0.21937863463818622
2023-03-01,0.26192540870609826,0.5452473131650396,0.5334150274438795,0.38706544290399797,,,False,0.5571165712161841,0.6938700526464523,0.09983629422374925,0.2006592165354963
