date,cash,net_equity,gross_equity,daily_return,gross_return,turnover,cost,drawdown
2025-06-03,543170.1373099998,1002178.1373099998,1002518.9999999998,0.002178137309999828,0.002518999999999716,0.456489,340.86268999999487,0.0
2025-06-04,543170.1373099998,1000806.1373099998,1001146.9999999998,-0.0013690180906187344,-0.0013685526159603612,0.0,0.0,-0.0013690180906187344
2025-06-05,543170.1373099998,1004110.1373099998,1004450.9999999998,0.003301338667726972,0.003300214653792155,0.0,0.0,0.0
2025-06-06,543170.1373099998,997720.1373099998,998060.9999999998,-0.006363843728456664,-0.006361684143875612,0.0,0.0,-0.006363843728456664
2025-06-09,543170.1373099998,1000240.1373099998,1000580.9999999998,0.0025257583822997365,0.0025248957729036015,0.0,0.0,-0.00385415887779772
2025-06-10,543170.1373099998,1007808.1373099998,1008148.9999999998,0.007566183077148958,0.007563605545178209,0.0,0.0,0.0
2025-06-11,543170.1373099998,1010353.1373099998,1010693.9999999998,0.0025252822494497007,0.002524428432701953,0.0,0.0,0.0
2025-06-12,543170.1373099998,1010727.1373099998,1011067.9999999998,0.00037016760396846315,0.00037004276269581027,0.0,0.0,0.0
2025-06-13,543170.1373099998,1006967.1373099998,1007307.9999999998,-0.0037200940404222838,-0.0037188398802059375,0.0,0.0,-0.0037200940404222838
2025-06-16,543170.1373099998,1007125.1373099998,1007465.9999999998,0.00015690680871882634,0.00015685371306495277,0.0,0.0,-0.0035637709397875472
2025-06-17,543170.1373099998,1006995.1373099998,1007335.9999999998,-0.00012908028524361015,-0.00012903661264995758,0.0,0.0,-0.0036923912124616765
2025-06-18,543170.1373099998,1004593.1373099998,1004933.9999999998,-0.0023853143982566216,-0.0023845072547789004,0.0,0.0,-0.006068898096795228
2025-06-19,543170.1373099998,998755.1373099998,999095.9999999998,-0.005811307865025261,-0.005809336732561565,0.0,0.0,-0.011844937726578575
2025-06-20,543170.1373099998,998587.1373099998,998927.9999999998,-0.00016820939760320286,-0.00016815200941655561,0.0,0.0,-0.012011154694342108
2025-06-23,543170.1373099998,999406.1373099998,999746.9999999998,0.0008201587717284742,0.0008198789101916404,0.0,0.0,-0.011200846976494816
2025-06-24,543170.1373099998,1005497.1373099998,1005837.9999999998,0.006094619367051912,0.006092541412977548,0.0,0.0,-0.005174492508353334
2025-06-25,543170.1373099998,1010542.1373099998,1010882.9999999998,0.005017418561227283,0.005015718236932809,0.0,0.0,-0.0001830365418824531
2025-06-26,543170.1373099998,1009527.1373099998,1009867.9999999998,-0.0010044113575529146,-0.0010040726770556008,0.0,0.0,-0.001187264055453885
2025-06-27,543170.1373099998,1011139.1373099998,1011479.9999999998,0.0015967871891937602,0.0015962482225400088,0.0,0.0,0.0
2025-06-30,543170.1373099998,1011510.1373099998,1011850.9999999998,0.0003669129067509491,0.000366789259303113,0.0,0.0,0.0
2025-07-01,43612.81935999988,1014966.8193599998,1015861.9999999999,0.003417347906361723,0.00396402237088278,0.7343920467030758,554.3179499999851,0.0
2025-07-02,43612.81935999988,1017715.8193599998,1018610.9999999999,0.002708462924663202,0.0027060762190140863,0.0,0.0,0.0
2025-07-03,43612.81935999988,1019947.8193599998,1020842.9999999999,0.002193146610812935,0.0021912192191131385,0.0,0.0,0.0
2025-07-04,43612.81935999988,1021277.8193599998,1022172.9999999999,0.001303988277394863,0.0013028448057144093,0.0,0.0,0.0
2025-07-07,43612.81935999988,1024820.8193599998,1025715.9999999999,0.003469183343490556,0.003466145163294243,0.0,0.0,0.0
2025-07-08,43612.81935999988,1012729.8193599998,1013624.9999999999,-0.01179816000181455,-0.011787863307192281,0.0,0.0,-0.01179816000181455
2025-07-09,43612.81935999988,1030065.8193599998,1030960.9999999999,0.017118089808943804,0.017102972006412642,0.0,0.0,0.0
2025-07-10,43612.81935999988,1041088.8193599998,1041983.9999999999,0.010701257912672846,0.010691966039452439,0.0,0.0,0.0
2025-07-11,43612.81935999988,1048480.8193599998,1049375.9999999998,0.00710025875078002,0.00709415883545228,0.0,0.0,0.0
2025-07-14,43612.81935999988,1048781.8193599998,1049676.9999999998,0.0002870820280562736,0.00028683712987520593,0.0,0.0,0.0
2025-07-15,43612.81935999988,1040056.8193599998,1040951.9999999999,-0.008319175484300723,-0.008312080763892005,0.0,0.0,-0.008319175484300723
2025-07-16,43612.81935999988,1038974.8193599998,1039869.9999999999,-0.0010403277781168008,-0.001039433134284784,0.0,0.0,-0.009350848593070116
2025-07-17,43612.81935999988,1042924.8193599998,1043819.9999999999,0.0038018245739903644,0.003798551742044687,0.0,0.0,-0.005584574305048662
2025-07-18,43612.81935999988,1051177.8193599998,1052072.9999999998,0.007913322079212248,0.007906535609587761,0.0,0.0,0.0
2025-07-21,43612.81935999988,1066829.8193599998,1067724.9999999998,0.01488996410667176,0.014877294636398863,0.0,0.0,0.0
2025-07-22,43612.81935999988,1081763.8193599998,1082658.9999999998,0.013998483852803334,0.013986747523941023,0.0,0.0,0.0
2025-07-23,43612.81935999988,1075926.8193599998,1076821.9999999998,-0.005395817363769262,-0.00539135591169515,0.0,0.0,-0.005395817363769262
2025-07-24,43612.81935999988,1088643.8193599998,1089538.9999999998,0.011819577104290824,0.0118097512866564,0.0,0.0,0.0
2025-07-25,43612.81935999988,1081902.8193599998,1082797.9999999998,-0.0061921079053780526,-0.006187020382014796,0.0,0.0,-0.0061921079053780526
2025-07-28,43612.81935999988,1078590.8193599998,1079485.9999999998,-0.0030612731021065764,-0.003058742258482239,0.0,0.0,-0.00923442527410856
2025-07-29,43612.81935999988,1077193.8193599998,1078088.9999999998,-0.0012952085025430549,-0.0012941344306457436,0.0,0.0,-0.010517673270520445
2025-07-30,43612.81935999988,1079195.8193599998,1080090.9999999998,0.0018585327580040722,0.0018569895435349704,0.0,0.0,-0.00867868795282778
2025-07-31,43612.81935999988,1055856.8193599998,1056751.9999999998,-0.021626288372615154,-0.021608364480400266,0.0,0.0,-0.030117288517079066
2025-08-01,35293.14114000001,1056320.14114,1058119.0,0.0004388111830171404,0.0012935863854530716,1.0031019174001123,903.6782199999805,-0.029691693137065323
2025-08-04,35293.14114000001,1060449.14114,1062248.0,0.003908852855483591,0.003902207596688134,0.0,0.0,-0.025898900741084585
2025-08-05,35293.14114000001,1065908.14114,1067707.0,0.005147818776232382,0.0051391012268322545,0.0,0.0,-0.02088440481237097
2025-08-06,35293.14114000001,1071459.14114,1073258.0,0.005207765834364553,0.005198991858253343,0.0,0.0,-0.015785400067859223
2025-08-07,35293.14114000001,1071003.14114,1072802.0,-0.00042558785724189363,-0.00042487454088391274,0.0,0.0,-0.01620426985051049
2025-08-08,35293.14114000001,1073174.14114,1074973.0,0.002027071552459736,0.002023672588231662,0.0,0.0,-0.014210045512493052
2025-08-11,35293.14114000001,1080905.14114,1082704.0,0.007203863477168282,0.007191808538447031,0.0,0.0,-0.007108549263201036
2025-08-12,35293.14114000001,1081469.14114,1083268.0,0.0005217849175971345,0.0005209179979015488,0.0,0.0,-0.006590473479395453
2025-08-13,35293.14114000001,1087520.14114,1089319.0,0.005595166583876265,0.005585875332789314,0.0,0.0,-0.0010321816925029648
2025-08-14,35293.14114000001,1078907.14114,1080706.0,-0.007919853319655612,-0.007906774783144277,0.0,0.0,-0.008943860284554739
2025-08-15,35293.14114000001,1092429.14114,1094228.0,0.012533052645950837,0.012512191104703696,0.0,0.0,0.0
2025-08-18,35293.14114000001,1093018.14114,1094817.0,0.0005391654047102179,0.0005382790423933415,0.0,0.0,0.0
2025-08-19,35293.14114000001,1089786.14114,1091585.0,-0.002956950006912984,-0.002952091536759127,0.0,0.0,-0.002956950006912984
2025-08-20,35293.14114000001,1101756.14114,1103555.0,0.010983806407630192,0.01096570583142853,0.0,0.0,0.0
2025-08-21,35293.14114000001,1106264.14114,1108063.0,0.0040916495326592806,0.004084979905849773,0.0,0.0,0.0
2025-08-22,35293.14114000001,1113024.14114,1114823.0,0.006110656351053567,0.006100736149478925,0.0,0.0,0.0
2025-08-25,35293.14114000001,1129059.14114,1130858.0,0.014406695602825259,0.014383449211220034,0.0,0.0,0.0
2025-08-26,35293.14114000001,1132448.14114,1134247.0,0.0030016142436775084,0.0029968395678325876,0.0,0.0,0.0
2025-08-27,35293.14114000001,1110471.14114,1112270.0,-0.01940662817272709,-0.01937585023367927,0.0,0.0,-0.01940662817272709
2025-08-28,35293.14114000001,1118427.14114,1120226.0,0.007164526573677943,0.007152939484118104,0.0,0.0,-0.012381140902298138
2025-08-29,35293.14114000001,1116872.14114,1118671.0,-0.0013903453723548287,-0.0013881127558189599,0.0,0.0,-0.013754272212694985
2025-09-01,48948.52830000015,1119108.5283000001,1121740.0,0.002002366320747795,0.0027434339497494076,0.8398938118758349,832.6128399999806,-0.011779446983392394
2025-09-02,48948.52830000015,1115084.5283000001,1117716.0,-0.003595719180259249,-0.0035872840408650575,0.0,0.0,-0.015332810580200529
2025-09-03,48948.52830000015,1100225.5283000001,1102857.0,-0.013325447195158602,-0.013294074702339453,0.0,0.0,-0.02845394121761935
2025-09-04,48948.52830000015,1099859.5283000001,1102491.0,-0.0003326590690596598,-0.0003318653279618111,0.0,0.0,-0.028777134825082484
2025-09-05,48948.52830000015,1114037.5283000001,1116669.0,0.012890737076137526,0.012859968924916476,0.0,0.0,-0.016257356227779574
2025-09-08,48948.52830000015,1123473.5283000001,1126105.0,0.00847009168030377,0.008450131596740018,0.0,0.0,-0.007924965845204524
2025-09-09,48948.52830000015,1122163.5283000001,1124795.0,-0.001166026583627855,-0.0011633018235421844,0.0,0.0,-0.009081751707982533
2025-09-10,48948.52830000015,1119254.5283000001,1121886.0,-0.0025923137997604373,-0.0025862490498268498,0.0,0.0,-0.011650522757464365
2025-09-11,48948.52830000015,1126861.5283000001,1129493.0,0.0067964880263240435,0.006780546330019233,0.0,0.0,-0.004933217369561871
2025-09-12,48948.52830000015,1123607.5283000001,1126239.0,-0.002887666246720655,-0.0028809386158213934,0.0,0.0,-0.00780663813099669
2025-09-15,48948.52830000015,1120186.5283000001,1122818.0,-0.0030446574215962086,-0.003037543540935772,0.0,0.0,-0.010827527013869687
2025-09-16,48948.52830000015,1119805.5283000001,1122437.0,-0.00034012192646004635,-0.000339324805979202,0.0,0.0,-0.011163966260982927
2025-09-17,48948.52830000015,1121894.5283000001,1124526.0,0.0018655024887859195,0.0018611289542307397,0.0,0.0,-0.00931929017904154
2025-09-18,48948.52830000015,1104548.5283000001,1107180.0,-0.015461346465682757,-0.015425165803191754,0.0,0.0,-0.024636547870451886
2025-09-19,48948.52830000015,1102780.5283000001,1105412.0,-0.0016006539818772536,-0.0015968496540761379,0.0,0.0,-0.026197767263880567
2025-09-22,48948.52830000015,1098017.5283000001,1100649.0,-0.004319082426439302,-0.004308800700553284,0.0,0.0,-0.030403699374118465
2025-09-23,48948.52830000015,1093247.5283000001,1095879.0,-0.004344192945066272,-0.004333806690416275,0.0,0.0,-0.034615812782859856
2025-09-24,48948.52830000015,1105518.5283000001,1108150.0,0.011224356499649701,0.011197404092970098,0.0,0.0,-0.02377999650641016
2025-09-25,48948.52830000015,1099769.5283000001,1102401.0,-0.005200274670059568,-0.005187925822316419,0.0,0.0,-0.02885660866298334
2025-09-26,48948.52830000015,1103404.5283000001,1106036.0,0.003305237967102803,0.003297348242608633,0.0,0.0,-0.02564674865443517
2025-09-29,48948.52830000015,1113432.5283000001,1116064.0,0.009088235314250515,0.009066612659985651,0.0,0.0,-0.016791597027001504
2025-09-30,48948.52830000015,1113329.5283000001,1115961.0,-9.250672796246029e-05,-9.228861427301727e-05,0.0,0.0,-0.016882550419265785
2025-10-09,33285.50008000013,1132903.5000800001,1136264.0,0.017581471866544796,0.018193288116699513,0.713555133324312,729.02821999998,0.0
2025-10-10,33285.50008000013,1140131.5000800001,1143492.0,0.006380066792528671,0.006361197749818803,0.0,0.0,0.0
2025-10-13,33285.50008000013,1135408.5000800001,1138769.0,-0.004142504614308651,-0.004130330601350929,0.0,0.0,-0.004142504614308651
2025-10-14,33285.50008000013,1139828.5000800001,1143189.0,0.003892872036530104,0.0038813841964437934,0.0,0.0,-0.00026575881815271707
2025-10-15,33285.50008000013,1146159.5000800001,1149520.0,0.005554344359309793,0.005538016898343212,0.0,0.0,0.0
2025-10-16,33285.50008000013,1141315.5000800001,1144676.0,-0.004226287876741286,-0.004213932771939599,0.0,0.0,-0.004226287876741286
2025-10-17,33285.50008000013,1126895.5000800001,1130256.0,-0.01263454320824453,-0.012597451156484474,0.0,0.0,-0.01680743386819672
2025-10-20,33285.50008000013,1128796.5000800001,1132157.0,0.0016869354788133784,0.0016819198482467268,0.0,0.0,-0.015148851445883516
2025-10-21,33285.50008000013,1140313.5000800001,1143674.0,0.010202901939529108,0.01017261740200337,0.0,0.0,-0.005100511752153092
2025-10-22,33285.50008000013,1139233.5000800001,1142594.0,-0.0009471079662954907,-0.0009443250436750317,0.0,0.0,-0.006042788983135927
2025-10-23,33285.50008000013,1156143.5000800001,1159504.0,0.014843313507557854,0.014799657621167306,0.0,0.0,0.0
2025-10-24,33285.50008000013,1148080.5000800001,1151441.0,-0.006974047771268976,-0.006953835433081701,0.0,0.0,-0.006974047771268976
