year,total_return,max_drawdown
2023,-0.07444673293954462,-0.12197382683984348
2024,-0.16571578662545383,-0.16571578662545383
2025,0.10179098694069033,-0.18255058720037964
2026,-0.022516096901328386,-0.16715855196168627
