date,symbol,side,shares,price,execution_price,raw_value,execution_value,commission,stamp_tax,transfer_fee,slippage,total_cost,cash_after
2025-06-03,000001.SZ,buy,1300,10.61,10.612122,13793.0,13795.7586,5.0,0.0,0.13793000000000002,2.7585999999992055,7.896529999999205,986199.10347
2025-06-03,000002.SZ,buy,1400,6.58,6.581316,9212.0,9213.8424,5.0,0.0,0.09212000000000001,1.842399999999543,6.9345199999995435,976980.16895
2025-06-03,000027.SZ,buy,1800,6.23,6.2312460000000005,11214.0,11216.242800000002,5.0,0.0,0.11214,2.2428000000018073,7.3549400000018075,965758.81401
2025-06-03,000028.SZ,buy,600,22.01,22.014402,13206.000000000002,13208.6412,5.0,0.0,0.13206000000000004,2.641199999998207,7.773259999998207,952545.0407499999
2025-06-03,000042.SZ,buy,700,6.99,6.991398,4893.0,4893.9786,5.0,0.0,0.04893,0.9786000000003696,6.02753000000037,947646.01322
2025-06-03,000060.SZ,buy,2100,4.37,4.370874,9177.0,9178.8354,5.0,0.0,0.09177,1.835399999999936,6.927169999999936,938462.0860499999
2025-06-03,000070.SZ,buy,1300,6.61,6.611322,8593.0,8594.7186,5.0,0.0,0.08593,1.7186000000001513,6.804530000000152,929862.28152
2025-06-03,000089.SZ,buy,1400,7.02,7.0214039999999995,9828.0,9829.9656,5.0,0.0,0.09828,1.9655999999995402,7.06387999999954,920027.2176399999
2025-06-03,000157.SZ,buy,1200,6.68,6.681336,8016.0,8017.6032,5.0,0.0,0.08016000000000001,1.6031999999995605,6.683359999999561,912004.5342799999
2025-06-03,000166.SZ,buy,2100,4.65,4.650930000000001,9765.0,9766.953000000001,5.0,0.0,0.09765000000000001,1.9530000000013388,7.050650000001339,902232.4836299999
2025-06-03,000301.SZ,buy,1000,8.45,8.45169,8450.0,8451.689999999999,5.0,0.0,0.0845,1.6899999999986903,6.774499999998691,893775.7091299999
2025-06-03,000333.SZ,buy,100,74.94,74.954988,7494.0,7495.4988,5.0,0.0,0.07494,1.4988000000003012,6.573740000000301,886275.1353899998
2025-06-03,000338.SZ,buy,600,14.39,14.392878,8634.0,8635.7268,5.0,0.0,0.08634000000000001,1.7268000000003667,6.813140000000367,877634.3222499999
2025-06-03,000408.SZ,buy,200,35.31,35.317062,7062.0,7063.4124,5.0,0.0,0.07062,1.4124000000001615,6.483020000000161,870565.8392299998
2025-06-03,000421.SZ,buy,1200,6.42,6.421284,7704.0,7705.5408,5.0,0.0,0.07704000000000001,1.5407999999997628,6.617839999999763,862855.2213899998
2025-06-03,000425.SZ,buy,900,8.04,8.041607999999998,7235.999999999999,7237.447199999999,5.0,0.0,0.07236,1.4471999999996115,6.519559999999611,855612.7018299998
2025-06-03,000429.SZ,buy,700,13.61,13.612722,9527.0,9528.9054,5.0,0.0,0.09527000000000001,1.905399999999645,7.000669999999645,846078.7011599998
2025-06-03,000498.SZ,buy,1700,5.63,5.631126,9571.0,9572.9142,5.0,0.0,0.09571,1.914199999999255,7.009909999999255,836500.6912499998
2025-06-03,000513.SZ,buy,300,33.7,33.70674,10110.0,10112.022,5.0,0.0,0.10110000000000001,2.022000000000844,7.123100000000844,826383.5681499998
2025-06-03,000534.SZ,buy,400,14.01,14.012801999999999,5604.0,5605.1208,5.0,0.0,0.056040000000000006,1.12079999999969,6.17683999999969,820773.3913099999
2025-06-03,000538.SZ,buy,300,53.88,53.890776,16164.0,16167.232800000002,5.0,0.0,0.16164,3.232800000001589,8.39444000000159,804600.9968699999
2025-06-03,000552.SZ,buy,4100,2.34,2.340468,9594.0,9595.9188,5.0,0.0,0.09594000000000001,1.9187999999994645,7.014739999999464,794999.9821299999
2025-06-03,000563.SZ,buy,2700,3.25,3.25065,8775.0,8776.755,5.0,0.0,0.08775000000000001,1.7549999999991996,6.842749999999199,786218.13938
2025-06-03,000589.SZ,buy,2300,4.26,4.260852,9798.0,9799.9596,5.0,0.0,0.09798000000000001,1.9596000000001368,7.0575800000001365,776413.0817999999
2025-06-03,000591.SZ,buy,2600,4.22,4.220844,10972.0,10974.194399999998,5.0,0.0,0.10972000000000001,2.1943999999984953,7.304119999998496,765433.7776799999
2025-06-03,000598.SZ,buy,1700,7.1,7.101419999999999,12070.0,12072.413999999999,5.0,0.0,0.12070000000000002,2.4139999999988504,7.534699999998851,753356.24298
2025-06-03,000623.SZ,buy,600,15.89,15.893178,9534.0,9535.9068,5.0,0.0,0.09534000000000001,1.9068000000006577,7.002140000000658,743815.24084
2025-06-03,000625.SZ,buy,800,11.99,11.992398,9592.0,9593.9184,5.0,0.0,0.09592,1.9184000000004744,7.014320000000474,734216.22652
2025-06-03,000650.SZ,buy,2300,5.4,5.40108,12420.0,12422.484,5.0,0.0,0.1242,2.4840000000003783,7.608200000000378,721788.61832
2025-06-03,000651.SZ,buy,200,43.2,43.20864,8640.0,8641.728000000001,5.0,0.0,0.0864,1.728000000000975,6.814400000000975,713141.80392
2025-06-03,000685.SZ,buy,1300,8.42,8.421683999999999,10946.0,10948.189199999999,5.0,0.0,0.10946000000000002,2.189199999998891,7.2986599999988915,702188.50526
2025-06-03,000686.SZ,buy,1300,7.1,7.101419999999999,9230.0,9231.846,5.0,0.0,0.09230000000000001,1.845999999999549,6.938299999999549,692951.56696
2025-06-03,000708.SZ,buy,900,10.81,10.812162,9729.0,9730.945800000001,5.0,0.0,0.09729,1.9458000000013271,7.043090000001327,683215.5238699999
2025-06-03,000709.SZ,buy,4200,2.15,2.15043,9030.0,9031.806,5.0,0.0,0.0903,1.8060000000004948,6.896300000000495,674178.6275699999
2025-06-03,000716.SZ,buy,800,6.4,6.40128,5120.0,5121.023999999999,5.0,0.0,0.0512,1.0239999999994325,6.075199999999432,669052.5523699999
2025-06-03,000719.SZ,buy,900,12.17,12.172433999999999,10953.0,10955.1906,5.0,0.0,0.10953,2.190599999999904,7.300129999999904,658092.25224
2025-06-03,000725.SZ,buy,2700,3.72,3.7207440000000003,10044.0,10046.008800000001,5.0,0.0,0.10044,2.008800000001429,7.109240000001429,648041.1429999999
2025-06-03,000726.SZ,buy,1500,5.94,5.941188,8910.0,8911.782000000001,5.0,0.0,0.08910000000000001,1.7820000000010623,6.8711000000010625,639124.2718999999
2025-06-03,000728.SZ,buy,1300,7.36,7.361472,9568.0,9569.9136,5.0,0.0,0.09568,1.9135999999998603,7.00927999999986,629549.2626199999
2025-06-03,000729.SZ,buy,800,13.81,13.812762,11048.0,11050.2096,5.0,0.0,0.11048000000000001,2.209600000000137,7.320080000000137,618493.94254
2025-06-03,000758.SZ,buy,2000,4.72,4.720943999999999,9440.0,9441.887999999999,5.0,0.0,0.09440000000000001,1.8879999999990105,6.982399999999011,609046.96014
2025-06-03,000776.SZ,buy,500,15.76,15.763152,7880.0,7881.576,5.0,0.0,0.07880000000000001,1.5760000000000218,6.654800000000022,601160.30534
2025-06-03,000778.SZ,buy,3000,3.47,3.470694,10410.0,10412.082,5.0,0.0,0.10410000000000001,2.0820000000003347,7.1861000000003346,590743.1192399999
2025-06-03,000783.SZ,buy,1400,6.13,6.131226,8582.0,8583.7164,5.0,0.0,0.08582000000000001,1.7163999999993393,6.802219999999339,582154.31702
2025-06-03,000786.SZ,buy,300,26.75,26.75535,8025.0,8026.605,5.0,0.0,0.08025,1.6049999999995634,6.685249999999564,574122.63177
