top_k,rebalance,weighting,momentum_window,skip_window,target_rows,split_date,status,is_total_return,is_annual_return,is_annual_volatility,is_sharpe,is_max_drawdown,is_calmar,oos_total_return,oos_annual_return,oos_annual_volatility,oos_sharpe,oos_max_drawdown,oos_calmar
30,M,equal_weight,120,5,1500,2025-02-21,ok,-0.04920047316870335,-0.024384975378857643,0.19581843012705863,-0.02820106342520979,-0.28173785573612975,-0.08655200173630959,0.14234587226566564,0.1087034088926524,0.23770257016249477,0.5560972949917729,-0.17865000917428697,0.608471331152319
30,M,equal_weight,60,5,1500,2025-02-21,ok,0.010510835796451179,0.00512943542606914,0.18339608163153717,0.11982171229737276,-0.2236185306145032,0.022938329001507447,0.08930629505152132,0.0685763274103075,0.21054953774742335,0.42420463280369697,-0.1592571245595723,0.4306013159534071
30,M,inverse_vol_weight,120,5,1500,2025-02-21,ok,-0.04140802448194025,-0.02048060749134606,0.1777497331473337,-0.027470047493640504,-0.2598803086278083,-0.07880784657939469,0.08535284768776741,0.06556799431299387,0.2053119099426332,0.41512431136006567,-0.1485090922578809,0.4415082828675386
30,M,inverse_vol_weight,120,20,1500,2025-02-21,ok,0.03386024865284809,0.016427652634394052,0.1811747250280093,0.180574571170831,-0.2008922325871556,0.08177345845000272,0.07705504313595846,0.05924584860925575,0.2156262661171457,0.3770964544872802,-0.15859142062304454,0.3735753698182515
30,M,equal_weight,120,20,1500,2025-02-21,ok,0.03990348940556565,0.01933054584271221,0.20095524097341583,0.195733788336207,-0.21188585010953542,0.09123094266426564,0.07053524554290225,0.05427070013050406,0.24350888161831297,0.34109441810648056,-0.18615854117173347,0.29152946616851005
50,M,equal_weight,60,5,2500,2025-02-21,ok,0.035242559801501594,0.01709241368219283,0.16825917385524952,0.18495089048392266,-0.19950757094623317,0.08567300780179012,0.050596463464130714,0.03901326897837465,0.19066236341477052,0.29967748781899384,-0.14455886673283336,0.26987807707760375
30,M,inverse_vol_weight,60,20,1500,2025-02-21,ok,0.04234357559204205,0.020500208179830892,0.19163636940266698,0.20193606627606722,-0.20742964153221988,0.09882969487100333,0.05038842816445843,0.038853736529878447,0.2261774598314216,0.2848373649053899,-0.1977370600854872,0.19649192980355276
50,M,equal_weight,120,5,2500,2025-02-21,ok,-0.022479552784118284,-0.011063565917176055,0.1731338648280654,0.02229846293637751,-0.23577613989396418,-0.046924026842375496,0.045499192330443305,0.03510236526627386,0.20773027782577538,0.2727613839467351,-0.15146341974164113,0.2317547387095165
30,M,inverse_vol_weight,60,5,1500,2025-02-21,ok,0.01537907648027903,0.0074959713303826,0.1597767022883709,0.12669586672504496,-0.210378005377173,0.03563096492403549,0.026826874115377652,0.02073915067532983,0.17821916057129025,0.20736286177786376,-0.13010813528040632,0.15939933833217462
50,M,equal_weight,120,20,2500,2025-02-21,ok,-0.006115634437007467,-0.0029971920542872788,0.1845293467736919,0.0759963611521588,-0.22450978717055103,-0.013349939403801728,0.019845118553377894,0.015353579152578734,0.216454482674309,0.18163561776312673,-0.17987126913032514,0.08535870807390783
50,M,inverse_vol_weight,60,20,2500,2025-02-21,ok,0.015287581579008336,0.00745154757124622,0.16892395309762712,0.128571858768212,-0.2129724468021642,0.03498831742384104,0.01874703564806035,0.014505789856000595,0.1947592293434345,0.17389911687877932,-0.1735259827196155,0.0835943391799668
50,M,equal_weight,60,20,2500,2025-02-21,ok,0.022403503310947093,0.01090047762310875,0.18717193903618823,0.15172419597829548,-0.2270453640746828,0.048010130783922196,0.01716766302406425,0.013286054494680455,0.2170144644706274,0.17208974857614817,-0.18855370157892604,0.07046297359014769
30,M,equal_weight,60,20,1500,2025-02-21,ok,0.04645442581794823,0.022467598235734743,0.22228168017851788,0.2114137429483821,-0.23585347677431134,0.095260831186449,0.010266873697376777,0.007951635000767121,0.2500204764121152,0.1603245019076173,-0.2056084339312939,0.03867368107781142
50,M,inverse_vol_weight,120,20,2500,2025-02-21,ok,-0.01134885695307608,-0.005569411940649305,0.17011909146648743,0.05225811017598934,-0.2205975047748704,-0.02524693987963798,0.009928354411956164,0.007689744032498336,0.20256477362418676,0.1423245486561189,-0.1548086329906303,0.049672578873322604
50,M,inverse_vol_weight,60,5,2500,2025-02-21,ok,0.050802153090999225,0.024544064262916443,0.1508175646137176,0.23625885676869662,-0.19206963726366344,0.127787320331238,-0.0023718928132695494,-0.0018396195822788508,0.16752950282378398,0.0758836849727087,-0.1392650289455315,-0.013209486948789935
50,M,inverse_vol_weight,120,5,2500,2025-02-21,ok,-0.024434735002168306,-0.012031944209844325,0.15960228797093376,0.004036104359445337,-0.22613407178787304,-0.053207126704599345,-0.022715071994416802,-0.017658271244497814,0.1829909300333629,-0.0027076674093840193,-0.1362025039306931,-0.12964718514634105
