benchmark,benchmark_name,regime,sample_days,strategy_return,benchmark_return,excess_return,annual_return,benchmark_annual_return,sharpe,information_ratio,max_drawdown,win_rate,benchmark_ma_window,benchmark_vol_window
csi1000,中证1000,benchmark_above_ma120,444,0.2301593549698282,1.267687329597686,-1.0375279746278578,0.12475817398624023,0.5915397020067856,0.692162988621281,-1.990320584512753,-0.15030710263816383,0.509009009009009,120,20
csi1000,中证1000,benchmark_below_ma120,395,-0.16512935837065745,-0.3826858633059216,0.21755650493526413,-0.10875926712813944,-0.264896867125616,-0.48347212638617526,1.1473014043816134,-0.27656268565481923,0.4835443037974684,120,20
csi1000,中证1000,high_vol_market,420,0.05025677260922601,0.4457395733407239,-0.3954828007314979,0.029857875499834652,0.24753874172879264,0.24461175197208596,-1.0282693206571307,-0.15858960875791173,0.4976190476190476,120,20
csi1000,中证1000,low_vol_market,419,-0.02212110716649396,-0.03172364374867631,0.009602536582182353,-0.0133636049217426,-0.019202054089162313,-0.023148757282923416,0.0277465937156954,-0.2197835281886641,0.4964200477326969,120,20
csi1000,中证1000,up_month,428,0.6889030283703896,2.206233297664873,-1.5173302692944832,0.3614768225694516,0.9857398914467719,1.829683035103714,-2.0953121137622532,-0.13260887622288786,0.5350467289719626,120,20
csi1000,中证1000,down_month,411,-0.3918988167242684,-0.5633893992735208,0.17149058254925242,-0.26286465529512615,-0.3983722258535872,-1.3061423947098456,1.3862500245563925,-0.415836065212578,0.45742092457420924,120,20
csi500,中证500,benchmark_above_ma120,466,0.1892030270877021,1.4681563616719893,-1.2789533345842872,0.09823778336902533,0.629987830759468,0.5654347700018878,-2.1724849934299035,-0.1503071026381636,0.5171673819742489,120,20
csi500,中证500,benchmark_below_ma120,373,-0.1363762901738248,-0.3890644970294378,0.252688206855613,-0.09430772021886491,-0.2831673481546805,-0.4155326639088457,1.527344330814364,-0.27635681465584483,0.4718498659517426,120,20
csi500,中证500,high_vol_market,420,-0.07202474074844989,0.3313508085532588,-0.4033755493017087,-0.04385922645036533,0.18734110707556062,-0.05838440540035619,-1.0614676857610368,-0.1734816069010281,0.49047619047619045,120,20
csi500,中证500,low_vol_market,419,0.10673632702054614,0.13259731284997578,-0.02586098582942964,0.06289305550530377,0.07776171261903331,0.5211298762460284,-0.1258596046931675,-0.17679665299102687,0.5035799522673031,120,20
csi500,中证500,up_month,387,0.631334869164295,2.2446357241038633,-1.6133008549395682,0.3753086377333208,1.1520494363312563,1.8691922385682644,-2.461259125259661,-0.13260887622288775,0.5271317829457365,120,20
csi500,中证500,down_month,452,-0.3704395404015819,-0.5352685242826363,0.16482898388105438,-0.22739248376966292,-0.3476843453120204,-1.1147020964251375,1.1135475887499338,-0.39522151020246765,0.47123893805309736,120,20
hs300,沪深300,benchmark_above_ma120,526,0.23822286842967966,0.7279111608266564,-0.48968829239697675,0.1077933418001511,0.29955159658009833,0.624246081339822,-0.8858716617848058,-0.15030710263816338,0.5209125475285171,120,20
hs300,沪深300,benchmark_below_ma120,313,-0.17056617497908344,-0.26111531873431837,0.09054914375523493,-0.13977864318865618,-0.21622840925696063,-0.6361702944909793,0.6700383542457543,-0.30488383350132786,0.45686900958466453,120,20
hs300,沪深300,high_vol_market,420,0.05766632943677963,0.4767529324077351,-0.41908660297095546,0.034211130196615036,0.26352751921103024,0.26204685575528336,-0.9700592127002409,-0.2158489562294379,0.5142857142857142,120,20
hs300,沪深300,low_vol_market,419,-0.028971707422222548,-0.13544977002943204,0.10647806260720949,-0.017526496352455068,-0.08381405894433092,-0.056510227573452726,0.5681369610935131,-0.25537521942918895,0.4797136038186158,120,20
hs300,沪深300,up_month,411,0.5274127274940397,1.2561652524664946,-0.7287525249724549,0.29655453497523165,0.6468929605442042,1.5661098973864855,-1.4781464481109654,-0.13260887622288797,0.5328467153284672,120,20
hs300,沪深300,down_month,428,-0.32760549162439256,-0.4341163237368949,0.10651083211250234,-0.20839654382744455,-0.28482972882044344,-0.9727573049219064,0.6416351241727806,-0.37383615986602736,0.46261682242990654,120,20
