symbol,avg_weight,max_weight,holding_days,first_date,last_date
300024.SZ,0.0240473599727506,0.0247534497765168,5,2025-01-06,2025-01-10
601991.SH,0.02305660300848247,0.0288359757712581,19,2025-07-23,2026-06-17
300001.SZ,0.022974379558040874,0.0244856613035934,4,2026-06-03,2026-06-08
601669.SH,0.022130148248714666,0.0239561674241068,3,2025-07-22,2025-07-24
600637.SH,0.022091890376652715,0.0250373508300231,14,2025-09-25,2026-05-19
002945.SZ,0.021922648664703063,0.022937162760982,8,2025-04-07,2026-01-27
300857.SZ,0.021916299614137377,0.0310894234788058,272,2025-01-07,2026-06-24
600126.SH,0.02184528183535863,0.0343900729893688,36,2025-01-10,2026-04-23
601998.SH,0.021787988876078825,0.0234220191647214,8,2025-03-31,2025-06-13
600176.SH,0.02172059432269188,0.0243828870003285,17,2025-02-25,2026-06-22
600584.SH,0.02164513210729605,0.0216511094199786,2,2026-06-09,2026-06-10
600362.SH,0.021629562859138415,0.0261591516337571,13,2025-09-26,2026-06-22
600350.SH,0.02148370625645937,0.0227623191128303,6,2025-04-02,2025-04-10
600026.SH,0.021389525729573585,0.0240805153059888,7,2026-03-04,2026-06-24
600499.SH,0.0212661530128295,0.022573938606658,9,2025-04-25,2026-04-27
000060.SZ,0.021198771589730023,0.0232841444594374,15,2026-03-25,2026-06-23
002312.SZ,0.02116723753302527,0.0236284280318435,35,2025-01-06,2026-06-24
600498.SH,0.02113005905099037,0.0247697341079491,27,2025-02-27,2026-05-12
688599.SH,0.021124844841085705,0.0267832757145465,17,2025-02-10,2026-06-12
600893.SH,0.02112233230910665,0.0214026842120956,2,2026-03-17,2026-03-18
300054.SZ,0.0211105795117349,0.0216691774175466,3,2026-04-07,2026-06-04
000537.SZ,0.0210797110366901,0.0223250442459971,5,2026-03-11,2026-04-24
002508.SZ,0.021003670156315466,0.022075370483344,6,2025-04-02,2025-04-10
600160.SH,0.0209980647517975,0.0213730631310453,4,2025-11-05,2026-05-25
688172.SH,0.020989635712421458,0.0237594012142219,23,2025-11-27,2026-05-29
000783.SZ,0.0209882454848871,0.0209882454848871,1,2026-06-24,2026-06-24
600392.SH,0.02096224087111339,0.0232285833387404,17,2025-07-14,2026-05-25
601001.SH,0.020952850121717013,0.0228093692477517,15,2025-03-20,2026-06-02
603650.SH,0.020952581595063142,0.0222231877495535,7,2025-02-20,2026-06-23
601958.SH,0.020903095480074668,0.0249171244182381,15,2025-06-20,2026-06-16
002487.SZ,0.02088548672726494,0.024248547405447,22,2025-04-15,2026-04-20
688561.SH,0.020881908406026373,0.0215288568794199,7,2025-02-07,2025-03-06
300251.SZ,0.020877837849860047,0.0349150360668156,62,2025-02-07,2026-05-19
601225.SH,0.02087125756239754,0.0236512520389394,19,2025-03-21,2025-11-03
002410.SZ,0.020866632007019048,0.0217250808252521,8,2025-02-27,2025-04-18
600309.SH,0.020844122725645002,0.0212470017830183,5,2026-04-21,2026-04-27
002625.SZ,0.020822334180531317,0.0234316116041226,16,2025-01-06,2026-01-14
688126.SH,0.020818359006884668,0.0209803975886874,3,2025-02-20,2025-11-06
600578.SH,0.020816765560860494,0.0263933748257811,17,2025-07-01,2026-06-24
600050.SH,0.02079639417433445,0.0211844341305161,6,2025-02-28,2025-03-21
000725.SZ,0.02078974400590744,0.0215448737551542,5,2026-05-22,2026-06-22
000539.SZ,0.020772672778077417,0.0228838287443157,6,2025-05-29,2026-06-01
002318.SZ,0.02077166109073808,0.0214973999843168,5,2025-12-15,2026-03-24
688256.SH,0.020751648313734567,0.0442106977656498,214,2025-01-03,2026-05-08
600143.SH,0.02072485962430527,0.0225386473878029,6,2025-02-20,2026-03-24
000703.SZ,0.020723402071157197,0.0229457196796971,33,2025-12-01,2026-06-01
002602.SZ,0.020721949456555408,0.0224348684493492,22,2025-02-28,2026-01-29
300679.SZ,0.020704840778326412,0.022067649097527,8,2025-04-24,2026-05-29
301611.SZ,0.02069075162855765,0.02336873835048,36,2025-12-23,2026-06-05
600879.SH,0.02068933544866389,0.0219270824075069,30,2025-08-05,2026-04-21
