benchmark,beta,correlation,strategy_vol,benchmark_vol
csi1000,0.9658229906994871,0.8560241023831192,0.26093661072108126,0.23192553217131523
csi500,1.0498500571463758,0.8868257413315108,0.26093661072108126,0.22104012755051666
hs300,1.4092794733983298,0.8569512260482701,0.26093661072108126,0.15911791751191892
