date,industry,portfolio_weight,benchmark_weight,active_weight
2025-01-03,J 金融业,0.0758939887359006,0.030201342281879196,0.04569264645402141
2025-01-03,I 信息技术,0.0569560196740154,0.026845637583892617,0.030110382090122786
2025-01-03,B 采矿业,0.0190000875513429,0.003355704697986577,0.015644382853356325
2025-01-03,K 房地产,0.0190035885809267,0.006711409395973154,0.012292179184953546
2025-01-03,D 水电煤气,0.0,0.003355704697986577,-0.003355704697986577
2025-01-03,F 批发零售,0.0,0.003355704697986577,-0.003355704697986577
2025-01-03,L 商务服务,0.0,0.003355704697986577,-0.003355704697986577
2025-01-03,Q 卫生,0.0,0.003355704697986577,-0.003355704697986577
2025-01-03,R 文化传播,0.0,0.003355704697986577,-0.003355704697986577
2025-01-03,A 农林牧渔,0.0,0.006711409395973154,-0.006711409395973154
2025-01-03,G 运输仓储,0.0,0.010067114093959731,-0.010067114093959731
2025-01-03,C 制造业,0.2277577994828951,0.2684563758389262,-0.04069857635603108
2025-01-03,unknown,0.5503136875092388,0.6308724832214765,-0.08055879571223767
2025-01-06,J 金融业,0.0751129170467076,0.030201342281879196,0.044911574764828405
2025-01-06,K 房地产,0.0189851757568135,0.006711409395973154,0.012273766360840346
2025-01-06,I 信息技术,0.037544201311901004,0.026845637583892617,0.010698563728008387
2025-01-06,B 采矿业,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,D 水电煤气,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,F 批发零售,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,L 商务服务,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,Q 卫生,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,R 文化传播,0.0,0.003355704697986577,-0.003355704697986577
2025-01-06,C 制造业,0.2629881386873935,0.2684563758389262,-0.005468237151532662
2025-01-06,A 农林牧渔,0.0,0.006711409395973154,-0.006711409395973154
2025-01-06,G 运输仓储,0.0,0.010067114093959731,-0.010067114093959731
2025-01-06,unknown,0.593268502397174,0.6308724832214765,-0.037603980824302496
2025-01-07,J 金融业,0.0747780156066601,0.030201342281879196,0.04457667332478091
2025-01-07,K 房地产,0.0186836998671,0.006711409395973154,0.011972290471126846
