symbol,total_contribution,avg_contribution,holding_days,avg_weight,max_weight
300502.SZ,0.06269315681510271,0.00021844305510488747,287,0.019528805137078897,0.0315081832769312
300394.SZ,0.04073846719264102,0.00013183969965255995,309,0.01980631479987721,0.0304253563148009
300308.SZ,0.034605680440448476,0.0002072196433559789,167,0.02045051945175598,0.0251634181793686
002384.SZ,0.03407236385200263,0.0001946992220114436,175,0.020590785115415886,0.0259321114279177
688256.SH,0.03328715763930555,0.000147942922841358,225,0.019479583328749155,0.0281950804064654
300251.SZ,0.027024291924740446,0.0001903119149629609,142,0.019838692303332562,0.0400020005857041
688183.SH,0.02516764781348045,0.00014717922697941784,171,0.01941610981505869,0.0277867557214897
688072.SH,0.02395903196614161,0.00018717993723548133,128,0.019693567388912914,0.0245107927828139
301308.SZ,0.018602946352824862,0.00012238780495279515,152,0.01964750669435538,0.0272296912509509
002938.SZ,0.01850799563448881,0.00011354598548766142,163,0.020408211464198443,0.0248378884260855
300476.SZ,0.01835839256611032,0.00011262817525221055,163,0.01998872946609938,0.0261132112140666
603986.SH,0.017501158322302188,0.0001306056591216581,134,0.020106327046073742,0.0249656901350675
002353.SZ,0.017433474101546175,0.00011779374392936604,148,0.02046279354985893,0.0295384594822871
002602.SZ,0.016931282203847965,0.00012008001563012742,141,0.020279745098349723,0.0239999381300177
002916.SZ,0.01620559895897524,8.48460678480379e-05,191,0.019667149124726155,0.0219528024181385
688012.SH,0.015351454833935263,8.253470340825411e-05,186,0.0201642747062591,0.0241393757334028
002558.SZ,0.01504774402619488,6.717742868837e-05,224,0.01954550836372102,0.0284002025063467
600183.SH,0.014974996479049341,8.228020043433703e-05,182,0.019605992630981325,0.02371815105432
300866.SZ,0.014182396318945443,0.00014621027132933446,97,0.02016550310133975,0.0229149473253866
601872.SH,0.014115087670180396,0.00020757481867912346,68,0.020496190352517624,0.028232448706723
605117.SH,0.014021539172392739,6.373426896542153e-05,220,0.02023165037524301,0.0245891441395279
002463.SZ,0.013915494928804593,8.433633290184602e-05,165,0.020085415851769067,0.0243521098147465
600549.SH,0.013437579126447071,0.000124422028948584,108,0.019401998616110725,0.0225510149536811
002600.SZ,0.013131948402794962,0.00011519252984907861,114,0.02060165360538153,0.0241673608300648
000657.SZ,0.012879708393750055,0.0001170882581250005,110,0.019418920301693288,0.0265752933280046
000988.SZ,0.012757095804557365,0.00014663328510985477,87,0.020182733793992075,0.0256345566895188
002241.SZ,0.011826481265213865,0.00010022441750181241,118,0.01972805280241084,0.0233690234898348
301269.SZ,0.011421936273563377,0.0001343757208654515,85,0.020503579290536464,0.0263236147845206
600111.SH,0.01107111982002371,0.0001496097272976177,74,0.019925902425913192,0.0260309055683589
688041.SH,0.010493744326185918,0.00012345581560218726,85,0.02014435632671878,0.0246798481304015
600176.SH,0.009738426231061857,0.0001453496452397292,67,0.02035017707188432,0.0242324590782682
300433.SZ,0.009661668460747917,6.153928955890394e-05,157,0.01923355444375322,0.0241908021520586
688521.SH,0.009587671543853208,5.046142917817478e-05,190,0.01902556843102595,0.0237469097086892
601138.SH,0.0095796751873547,8.118368802842967e-05,118,0.02005136485593198,0.0223306529446535
601600.SH,0.009134131253228482,0.0001574850216073876,58,0.02031738909763587,0.0222577767939587
601360.SH,0.009100959662492908,8.667580630945627e-05,105,0.020128785823117796,0.0243219263627407
002466.SZ,0.008807984652436322,0.00013345431291570184,66,0.019643225510013514,0.0214980808487633
603993.SH,0.008614940307983907,5.558026005150908e-05,155,0.01924966697589144,0.0237922838874524
300450.SZ,0.008581906122148642,8.413633453086904e-05,102,0.019559852777008856,0.0223924405742145
603019.SH,0.008553343890026762,9.503715433363069e-05,90,0.01923607187505255,0.0229122280764077
600188.SH,0.008499158754385375,0.00021792714754834296,39,0.020574571497340075,0.023093924567274
002648.SZ,0.008163225402517467,9.07025044724163e-05,90,0.01919872267286587,0.0222980716721697
300408.SZ,0.007851764674682907,0.00015395617009182172,51,0.019473946710558368,0.022201951775299
688082.SH,0.007685952529777491,8.354296228019012e-05,92,0.0202444462645156,0.0231631013348645
688126.SH,0.007545261424418703,8.982454076688932e-05,84,0.02042122819308688,0.023779533295819
002837.SZ,0.007482829386785599,3.513065439805445e-05,213,0.018579437801123595,0.0232562738471259
300418.SZ,0.007452010115450403,6.369239414914874e-05,117,0.020540642348342273,0.0242907424419109
300803.SZ,0.007254621912176743,6.843982936015796e-05,106,0.02017214430645091,0.0233419886485002
300033.SZ,0.007055172912685172,5.112444139626937e-05,138,0.019196544079133307,0.0212777352584046
688008.SH,0.006910812334466698,7.051849320884386e-05,98,0.02002653427603354,0.0223359861943017
600570.SH,0.00675223465700007,8.135222478313337e-05,83,0.019491572452612158,0.0213499626270911
688303.SH,0.006726752231983092,7.156119395726694e-05,94,0.018826693652284204,0.0262094420161569
603799.SH,0.006647934090176401,5.7808122523273055e-05,115,0.019774994540640755,0.0230164297490135
688036.SH,0.006427812339739519,5.101438364872634e-05,126,0.020180660426784375,0.0235320960866818
601727.SH,0.006352684013238446,0.00017646344481217905,36,0.019071816622612363,0.0214933504296339
601100.SH,0.006299946645072615,6.494790355744965e-05,97,0.02002013580770543,0.022218314967279
002920.SZ,0.006035096797137025,5.859317278773811e-05,103,0.020034491737355647,0.0230053725682767
600160.SH,0.005891944570354809,7.855926093806412e-05,75,0.020453680442896215,0.0247219703250832
301236.SZ,0.005879599114794777,5.9995909334640583e-05,98,0.020645610498387278,0.0256246295181461
002475.SZ,0.005780403279859142,5.7804032798591416e-05,100,0.020170524126078008,0.0214167155786626
000630.SZ,0.005591112548504015,5.1294610536734085e-05,109,0.018286668642418423,0.0211236856773098
600026.SH,0.005549929073001877,9.568843229313581e-05,58,0.019922641752731788,0.0253777924479587
688047.SH,0.005546921939567828,8.157238146423276e-05,68,0.020290346194445773,0.0222058052968956
000807.SZ,0.0055086682891952315,4.050491389114141e-05,136,0.02021308721273899,0.0230132448576184
600362.SH,0.005477440185641025,5.2166097006105e-05,105,0.01926587168376469,0.0229740858696299
688396.SH,0.005434742679102057,8.361142583233934e-05,65,0.020163627040588755,0.0226608342790731
600875.SH,0.0053724766531924656,8.954127755320775e-05,60,0.020098660354694986,0.0223765556529817
300661.SZ,0.005320377702114614,4.793133064968121e-05,111,0.019882358873238894,0.0232114345659511
300750.SZ,0.005279675855333289,6.438629091869864e-05,82,0.020146613431965773,0.0219726994605597
