month,benchmark,strategy_return,benchmark_return,excess_return,up_market
2025-01,csi1000,0.04734588581514987,-0.018740064356866704,0.06608595017201657,False
2025-02,csi1000,0.09730819615222286,0.07258723768056763,0.02472095847165523,True
2025-03,csi1000,-0.02434048168633518,-0.006980394771067044,-0.017360086915268136,False
2025-04,csi1000,-0.042448599682580634,-0.04441104677652441,0.0019624470939437755,False
2025-05,csi1000,0.023868649761445093,0.012847310397425593,0.0110213393640195,True
2025-06,csi1000,0.05254313136090705,0.05469471804810677,-0.0021515866871997247,True
2025-07,csi1000,0.10435779579043536,0.04798557498598632,0.056372220804449036,True
2025-08,csi1000,0.1910540089685846,0.11671960518742375,0.07433440378116085,True
2025-09,csi1000,0.09547417067665154,0.018321268687966796,0.07715290198868474,True
2025-10,csi1000,0.00911976864988806,-0.009014961525224297,0.018134730175112357,False
2025-11,csi1000,-0.0059375010809367135,-0.022974885685073665,0.01703738460413695,False
2025-12,csi1000,0.08244332870373183,0.035596880918327134,0.0468464477854047,True
2026-01,csi1000,0.06987060006787837,0.08684005932627992,-0.016969459258401542,True
2026-02,csi1000,0.03597095709485876,0.03706701264467238,-0.0010960555498136237,True
2026-03,csi1000,-0.054925584977248865,-0.10991826389060055,0.05499267891335169,False
2026-04,csi1000,0.09778080288899971,0.10001469845206956,-0.0022338955630698543,True
2026-05,csi1000,0.02611412192129481,0.0031960354795848023,0.022918086441710006,True
2026-06,csi1000,-0.0019701395779517794,0.0457561041278971,-0.04772624370584888,True
2025-01,csi500,0.04734588581514987,-0.023820360436010657,0.07116624625116053,False
2025-02,csi500,0.09730819615222286,0.04840067965054229,0.04890751650168057,True
2025-03,csi500,-0.02434048168633518,-0.00035819901154843237,-0.023982282674786748,False
2025-04,csi500,-0.042448599682580634,-0.03857217385722789,-0.0038764258253527473,False
2025-05,csi500,0.023868649761445093,0.0069687889804821435,0.01689986078096295,True
2025-06,csi500,0.05254313136090705,0.043081096484050896,0.009462034876856151,True
2025-07,csi500,0.10435779579043536,0.05256713507212041,0.05179066071831495,True
2025-08,csi500,0.1910540089685846,0.13131287498937994,0.059741133979204664,True
2025-09,csi500,0.09547417067665154,0.05230395139539756,0.043170219281253974,True
2025-10,csi500,0.00911976864988806,-0.01097692397355332,0.02009669262344138,False
2025-11,csi500,-0.0059375010809367135,-0.040847343808207315,0.0349098427272706,False
2025-12,csi500,0.08244332870373183,0.061725073173756195,0.020718255529975638,True
2026-01,csi500,0.06987060006787837,0.12121586364290282,-0.05134526357502445,True
2026-02,csi500,0.03597095709485876,0.03439810191003656,0.0015728551848221972,True
2026-03,csi500,-0.054925584977248865,-0.1202436925777709,0.06531810760052204,False
2026-04,csi500,0.09778080288899971,0.09612060715269277,0.0016601957363069353,True
2026-05,csi500,0.02611412192129481,0.0012039032719055598,0.02491021864938925,True
2026-06,csi500,-0.0019701395779517794,0.05782337826392814,-0.05979351784187992,True
2025-01,hs300,0.04734588581514987,-0.029945022898865914,0.07729090871401578,False
2025-02,hs300,0.09730819615222286,0.019116445031280405,0.07819175112094245,True
2025-03,hs300,-0.02434048168633518,-0.0007051325060434266,-0.023635349180291754,False
2025-04,hs300,-0.042448599682580634,-0.03002979441289222,-0.012418805269688415,False
2025-05,hs300,0.023868649761445093,0.018474920641992965,0.005393729119452129,True
2025-06,hs300,0.05254313136090705,0.024958648331663502,0.027584483029243545,True
2025-07,hs300,0.10435779579043536,0.035444410541557,0.06891338524887836,True
2025-08,hs300,0.1910540089685846,0.10333912308668802,0.08771488588189658,True
2025-09,hs300,0.09547417067665154,0.032008608866963995,0.06346556180968754,True
2025-10,hs300,0.00911976864988806,-5.602610299915156e-06,0.009125371260187976,False
2025-11,hs300,-0.0059375010809367135,-0.02456672185987019,0.018629220778933475,False
2025-12,hs300,0.08244332870373183,0.022815487438646587,0.059627841265085246,True
2026-01,hs300,0.06987060006787837,0.016501293753266477,0.0533693063146119,True
2026-02,hs300,0.03597095709485876,0.0009151485018081829,0.035055808593050575,True
2026-03,hs300,-0.054925584977248865,-0.05532106311510965,0.000395478137860783,False
2026-04,hs300,0.09778080288899971,0.08028181262723177,0.017498990261767933,True
2026-05,hs300,0.02611412192129481,0.01764272595862937,0.00847139596266544,True
2026-06,hs300,-0.0019701395779517794,0.010404280679075839,-0.012374420257027618,True
