benchmark,up_market,months,avg_excess_return,hit_rate,total_excess_return
csi1000,False,6,0.031122914048990258,0.8333333333333334,0.18673748429394155
csi1000,True,12,0.05237505246955981,0.9166666666666666,0.6285006296347178
csi500,False,6,0.03491968195477083,1.0,0.209518091728625
csi500,True,12,0.046083611501304224,0.9166666666666666,0.5530033380156507
hs300,False,6,0.019212014697050157,0.8333333333333334,0.11527208818230095
hs300,True,12,0.07318523188149373,1.0,0.8782227825779247
