month,benchmark,strategy_return,benchmark_return,excess_return,up_market
2025-01,csi1000,0.09172429691861139,-0.018740064356866704,0.1104643612754781,False
2025-02,csi1000,0.1754297631220365,0.07258723768056763,0.10284252544146888,True
2025-03,csi1000,-0.007309664590541609,-0.006980394771067044,-0.0003292698194745647,False
2025-04,csi1000,-0.0030558721608222594,-0.04441104677652441,0.04135517461570215,False
2025-05,csi1000,0.0537672780238696,0.012847310397425593,0.04091996762644401,True
2025-06,csi1000,0.07248813290389666,0.05469471804810677,0.01779341485578989,True
2025-07,csi1000,0.08393381598487859,0.04798557498598632,0.03594824099889227,True
2025-08,csi1000,0.20110292895142656,0.11671960518742375,0.08438332376400282,True
2025-09,csi1000,0.07263500181124583,0.018321268687966796,0.05431373312327903,True
2025-10,csi1000,0.02725625160688816,-0.009014961525224297,0.036271213132112456,False
2025-11,csi1000,0.01774525716237485,-0.022974885685073665,0.040720142847448515,False
2025-12,csi1000,0.08783978553168126,0.035596880918327134,0.052242904613354124,True
2026-01,csi1000,0.11608624606689366,0.08684005932627992,0.029246186740613744,True
2026-02,csi1000,0.030802810276921555,0.03706701264467238,-0.006264202367750826,True
2026-03,csi1000,-0.09795823387719316,-0.10991826389060055,0.011960030013407397,False
2026-04,csi1000,0.1397631859159103,0.10001469845206956,0.03974848746384074,True
2026-05,csi1000,0.01663445589236323,0.0031960354795848023,0.013438420412778429,True
2026-06,csi1000,0.05609255028881943,0.0457561041278971,0.01033644616092233,True
2025-01,csi500,0.09172429691861139,-0.023820360436010657,0.11554465735462205,False
2025-02,csi500,0.1754297631220365,0.04840067965054229,0.12702908347149422,True
2025-03,csi500,-0.007309664590541609,-0.00035819901154843237,-0.006951465578993177,False
2025-04,csi500,-0.0030558721608222594,-0.03857217385722789,0.03551630169640563,False
2025-05,csi500,0.0537672780238696,0.0069687889804821435,0.04679848904338746,True
2025-06,csi500,0.07248813290389666,0.043081096484050896,0.029407036419845767,True
2025-07,csi500,0.08393381598487859,0.05256713507212041,0.03136668091275818,True
2025-08,csi500,0.20110292895142656,0.13131287498937994,0.06979005396204663,True
2025-09,csi500,0.07263500181124583,0.05230395139539756,0.020331050415848262,True
2025-10,csi500,0.02725625160688816,-0.01097692397355332,0.03823317558044148,False
2025-11,csi500,0.01774525716237485,-0.040847343808207315,0.058592600970582165,False
2025-12,csi500,0.08783978553168126,0.061725073173756195,0.026114712357925063,True
2026-01,csi500,0.11608624606689366,0.12121586364290282,-0.00512961757600916,True
2026-02,csi500,0.030802810276921555,0.03439810191003656,-0.0035952916331150053,True
2026-03,csi500,-0.09795823387719316,-0.1202436925777709,0.022285458700577743,False
2026-04,csi500,0.1397631859159103,0.09612060715269277,0.04364257876321753,True
2026-05,csi500,0.01663445589236323,0.0012039032719055598,0.015430552620457672,True
2026-06,csi500,0.05609255028881943,0.05782337826392814,-0.0017308279751087063,True
2025-01,hs300,0.09172429691861139,-0.029945022898865914,0.1216693198174773,False
2025-02,hs300,0.1754297631220365,0.019116445031280405,0.1563133180907561,True
2025-03,hs300,-0.007309664590541609,-0.0007051325060434266,-0.0066045320844981825,False
2025-04,hs300,-0.0030558721608222594,-0.03002979441289222,0.02697392225206996,False
2025-05,hs300,0.0537672780238696,0.018474920641992965,0.03529235738187664,True
2025-06,hs300,0.07248813290389666,0.024958648331663502,0.04752948457223316,True
2025-07,hs300,0.08393381598487859,0.035444410541557,0.04848940544332159,True
2025-08,hs300,0.20110292895142656,0.10333912308668802,0.09776380586473854,True
2025-09,hs300,0.07263500181124583,0.032008608866963995,0.04062639294428183,True
2025-10,hs300,0.02725625160688816,-5.602610299915156e-06,0.027261854217188075,False
2025-11,hs300,0.01774525716237485,-0.02456672185987019,0.04231197902224504,False
2025-12,hs300,0.08783978553168126,0.022815487438646587,0.06502429809303467,True
2026-01,hs300,0.11608624606689366,0.016501293753266477,0.09958495231362718,True
2026-02,hs300,0.030802810276921555,0.0009151485018081829,0.029887661775113372,True
2026-03,hs300,-0.09795823387719316,-0.05532106311510965,-0.04263717076208351,False
2026-04,hs300,0.1397631859159103,0.08028181262723177,0.05948137328867853,True
2026-05,hs300,0.01663445589236323,0.01764272595862937,-0.001008270066266137,True
2026-06,hs300,0.05609255028881943,0.010404280679075839,0.04568826960974359,True
