date,industry,weight
2025-02-07,K 房地产,0.0196792525874126
2025-02-10,unknown,0.4922836098718216
2025-02-10,C 制造业,0.3930806588562581
2025-02-10,K 房地产,0.040875622554808894
2025-02-10,G 运输仓储,0.0210130840952571
2025-02-10,L 商务服务,0.0210109224830319
2025-02-10,J 金融业,0.0206157674110815
2025-02-11,unknown,0.5162924128393032
2025-02-11,C 制造业,0.352135179468244
2025-02-11,J 金融业,0.039817915464159304
2025-02-11,K 房地产,0.039501910875874596
2025-02-11,G 运输仓储,0.0211430673073245
2025-02-11,L 商务服务,0.020733849722564
2025-02-12,unknown,0.5157148465342231
2025-02-12,C 制造业,0.3524038103885627
2025-02-12,K 房地产,0.0418459110169958
2025-02-12,J 金融业,0.0394727361825461
2025-02-12,G 运输仓储,0.0206975735791616
2025-02-12,I 信息技术,0.0194996538442265
2025-02-13,unknown,0.5212771618888739
2025-02-13,C 制造业,0.3647795843640243
2025-02-13,K 房地产,0.042364343278046
2025-02-13,J 金融业,0.0392672168835096
2025-02-13,G 运输仓储,0.0214029092691267
2025-02-14,unknown,0.4744407683497773
2025-02-14,C 制造业,0.4122735905200051
2025-02-14,J 金融业,0.038991814959371804
2025-02-14,I 信息技术,0.0217547517354668
2025-02-14,G 运输仓储,0.0215484572207999
2025-02-14,K 房地产,0.0192249567425354
2025-02-17,C 制造业,0.4966185748464211
2025-02-17,unknown,0.3939877513388815
2025-02-17,J 金融业,0.0591495684595721
2025-02-17,M 科研服务,0.0203526037156351
2025-02-17,K 房地产,0.0191493120236206
2025-02-18,unknown,0.4814881453539898
2025-02-18,C 制造业,0.3851547148697669
2025-02-18,J 金融业,0.0398731525039524
2025-02-18,F 批发零售,0.0210960041500766
2025-02-18,B 采矿业,0.0210895622728674
2025-02-18,M 科研服务,0.0200820640478628
2025-02-18,K 房地产,0.0187879031057418
2025-02-19,unknown,0.50294060312604
2025-02-19,C 制造业,0.365325781150133
2025-02-19,F 批发零售,0.0417096131790855
2025-02-19,B 采矿业,0.0207224228221086
2025-02-19,M 科研服务,0.0206662484376078
2025-02-19,J 金融业,0.0190390853933776
2025-02-19,K 房地产,0.0185579291978078
2025-02-20,unknown,0.5157532998680245
2025-02-20,C 制造业,0.3305889898035617
2025-02-20,F 批发零售,0.0438585301994055
2025-02-20,I 信息技术,0.0206759418621549
2025-02-20,B 采矿业,0.020672591517467
2025-02-20,M 科研服务,0.0204832784232108
2025-02-20,J 金融业,0.0186842488853157
2025-02-20,K 房地产,0.0181830418558105
2025-02-21,unknown,0.5402885497878427
2025-02-21,C 制造业,0.31155780723707993
2025-02-21,I 信息技术,0.0207104299745275
2025-02-21,M 科研服务,0.0202576066227119
2025-02-21,P 教育,0.0201713010324891
2025-02-21,F 批发零售,0.0201456439109575
2025-02-21,B 采矿业,0.0197840734389422
2025-02-21,J 金融业,0.0188286442006666
2025-02-21,K 房地产,0.0175173200697846
2025-02-24,unknown,0.5153659461112089
2025-02-24,C 制造业,0.357880059967051
2025-02-24,I 信息技术,0.0201701199667637
2025-02-24,F 批发零售,0.0201220436910428
2025-02-24,B 采矿业,0.0199038850160055
2025-02-24,P 教育,0.019627162121553
2025-02-24,J 金融业,0.0187798543445233
2025-02-24,K 房地产,0.0176775467863842
2025-02-25,unknown,0.5339918518833864
2025-02-25,C 制造业,0.3415450360119483
2025-02-25,F 批发零售,0.0200498287774206
2025-02-25,B 采矿业,0.0198596314517473
2025-02-25,I 信息技术,0.0195517453300589
2025-02-25,P 教育,0.0187269853842029
2025-02-25,J 金融业,0.0179588756667891
2025-02-25,K 房地产,0.017529971582555
2025-02-26,unknown,0.4709627530737325
