symbol,total_contribution,avg_contribution,holding_days,avg_weight,max_weight
301550.SZ,0.040576828453234674,0.00015428451883359192,263,0.0192957274168064,0.0244962585521711
301396.SZ,0.029591474461658412,0.00019215243156921048,154,0.020745180453226764,0.0299454435279458
003010.SZ,0.026345294968597516,0.00029601455020896085,89,0.02059016222581094,0.026222998301946
300502.SZ,0.024836482275286204,0.00012056544793828254,206,0.017312061184011098,0.0252807974552946
688167.SH,0.023794111191034053,0.00014597614227628252,163,0.020716274957082774,0.0255317995351528
688256.SH,0.02274498713399824,0.0003446210171817915,66,0.021897162879513456,0.0382987226364259
601606.SH,0.02098831068870743,0.0008745129453628097,24,0.021219731467138608,0.0264027333587408
300870.SZ,0.02024624261968433,0.00013867289465537211,146,0.019392941113457067,0.0296410103838817
300394.SZ,0.01952870307205937,0.00010730056632999654,182,0.01927865264450496,0.0272228846768348
002636.SZ,0.019455742676505076,0.0005558783621858593,35,0.021432397973463205,0.0278001903712583
300857.SZ,0.018235394005020188,0.0001199696974014486,152,0.020077344726250213,0.0254408838012797
300660.SZ,0.018049496549168473,0.00011073310766361026,163,0.01935717071449473,0.0270028289795145
603119.SH,0.017682405273566144,0.00010525241234265561,168,0.01920666394180276,0.0289035177430626
600403.SH,0.01746476535189353,0.0005633795274804364,31,0.022979770726957914,0.0365795500800088
688800.SH,0.017357258889234086,9.484840923078736e-05,183,0.02099384985440873,0.0274705512092798
300953.SZ,0.01712659526158218,0.00016790779668217825,102,0.021496159062313412,0.0255375046842673
001359.SZ,0.016219400895362997,0.00011926030070119851,136,0.018901913207285723,0.024367641083773
688336.SH,0.016180076400706633,0.00023794230001039166,68,0.019580953010577357,0.0291802393186936
300085.SZ,0.0128520136585705,0.0005587832025465434,23,0.0203768779074352,0.0275726473914684
301031.SZ,0.01272224112378088,0.00011258620463522903,113,0.019883756660818323,0.0236091847704179
688388.SH,0.012348953806143185,0.000160376023456405,77,0.020771521727843325,0.0246063955838654
001337.SZ,0.011564023467276549,0.0008260016762340392,14,0.020390749107147284,0.0276004358938478
600126.SH,0.011487403226804152,0.0008836464020618578,13,0.023302366607334386,0.0322515804030392
002378.SZ,0.01108719226811852,0.0006159551260065845,18,0.020365335798880654,0.0259182914594498
002195.SZ,0.01102895805509349,0.0013786197568866863,8,0.02191539658774545,0.0242454150756938
688158.SH,0.0108942627198375,0.00021361299450661764,51,0.020606985851288423,0.0274266645271625
300058.SZ,0.010848849901819963,0.00023584456308304268,46,0.02053583690755255,0.0253886775019554
301196.SZ,0.010561429308588773,8.65690926933506e-05,122,0.01982525171492209,0.0231456919138893
688195.SH,0.010357209575736027,0.00014587619120754968,71,0.019047158558766684,0.0250622547424262
300969.SZ,0.010313855257981931,7.99523663409452e-05,129,0.02033339540961061,0.0255731477409141
688353.SH,0.010203212985282964,0.0007288009275202117,14,0.024494575397899638,0.0364066371119919
688146.SH,0.010122753712341554,0.0010122753712341554,10,0.02241109861830922,0.0304044292802855
002549.SZ,0.010018340296847589,0.0008348616914039658,12,0.021125155915405456,0.0240691536294055
301005.SZ,0.0099649857407185,9.490462610208095e-05,105,0.020341975717054636,0.0238853808243552
002987.SZ,0.009700743509538739,0.0001564636049925603,62,0.02050252201304304,0.0230988890268584
603301.SH,0.009128223461784903,0.0005705139663615565,16,0.019216409201723,0.0218741587026249
301171.SZ,0.008986183154126737,6.706106831437864e-05,134,0.019501825320301987,0.0249025716276259
001896.SZ,0.008957928272942265,0.0007464940227451888,12,0.020332790328895768,0.0242730789299904
002881.SZ,0.008951458411644313,0.0011189323014555391,8,0.025788073129482038,0.0310423499531253
301165.SZ,0.008760300187540074,8.588529595627524e-05,102,0.01974768393113469,0.0245262302050527
300503.SZ,0.008725310995725146,0.0017450621991450294,5,0.02188282495953136,0.0253703608306113
688019.SH,0.008708134138363102,5.54658225373446e-05,157,0.019312145966230963,0.0231719492180463
002536.SZ,0.008645468303224668,0.00043227341516123335,20,0.0211808368205713,0.023223362963134
300100.SZ,0.008645022416747984,0.00034580089666991936,25,0.021673707964026945,0.0249797453170587
688012.SH,0.008299928815443001,0.00013386981960391938,62,0.020438178650408825,0.0228572852115624
600353.SH,0.008210862419587028,0.0006842385349655856,12,0.021679001514121204,0.0248984227782345
600113.SH,0.008050816002662848,0.00023002331436179564,35,0.019482276063569393,0.0232405797315223
002185.SZ,0.0079166185227628,0.0011309455032518286,7,0.021908216798966828,0.0234544482619781
300438.SZ,0.007851606069290718,0.0011216580098986739,7,0.02071780630195953,0.021568907742746
300390.SZ,0.00781331651673455,0.0008681462796371722,9,0.02060220634598307,0.0227674782734175
603296.SH,0.00749089301003943,4.7410715253414115e-05,158,0.019316596485461083,0.023674737557478
603093.SH,0.007449490292006549,0.0005321064494290392,14,0.020818008089729407,0.0239095072156375
300680.SZ,0.007433442571303493,4.826910760586684e-05,154,0.018632494427388215,0.0228898644273983
002163.SZ,0.007419990950600465,0.00033727231593638475,22,0.0204165950121988,0.0234154965542018
301225.SZ,0.007291125720612275,0.00016570740274118805,44,0.020564761861962814,0.0232430008226272
603063.SH,0.007275236467917259,0.0005196597477083756,14,0.020775307014456963,0.023071509572642
002245.SZ,0.007161085998532469,0.00018361758970596073,39,0.021385317736892177,0.0233784116912707
603667.SH,0.007160730858715761,0.0005114807756225544,14,0.020725353596272564,0.0227579971366098
002335.SZ,0.007105778975199123,4.014564392767866e-05,177,0.017213158377406664,0.0251172239607211
603698.SH,0.007006385405876943,0.0005838654504897453,12,0.020970501150049142,0.0225233583333068
002716.SZ,0.007004167910338664,0.0004377604943961665,16,0.021054825271417155,0.0246476822397694
601991.SH,0.006979862199387734,0.0011633103665646223,6,0.023077067881955553,0.0260660189240736
688041.SH,0.0069347639659641976,0.0004623175977309465,15,0.02072175992236842,0.0232427971746826
002961.SZ,0.006920810124430271,0.0006291645567663883,11,0.021269847343054125,0.0252941573668098
601869.SH,0.0069079015543145,0.0001867000420085,37,0.019830376267709608,0.0236781332902028
603300.SH,0.006845176600638648,0.000180136226332596,38,0.020290015846929882,0.0229919303302343
301308.SZ,0.006736595678629834,0.00021051861495718232,32,0.02049955388199007,0.022111557981872
688766.SH,0.006643305088876455,0.0003907826522868503,17,0.02062538066313906,0.0240300525914076
688629.SH,0.0065733384725296246,0.0005477782060441354,12,0.021607334705792736,0.0239209364811448
688658.SH,0.006562037526145009,0.00014913721650329566,44,0.02179050670574905,0.0251332117183059
688141.SH,0.006519535114099659,0.00015161709567673625,43,0.020469305172829435,0.0250412234342383
688498.SH,0.006488153889571386,9.138244914889276e-05,71,0.01996980165589188,0.0259614912366831
300065.SZ,0.006306422237137045,0.001261284447427409,5,0.02141051617463318,0.0235642495827367
002125.SZ,0.006280977923483694,0.0012561955846967388,5,0.02115460364299186,0.0237001690481007
603516.SH,0.006261390680076673,5.64089250457358e-05,111,0.01977254928122694,0.022877447562434
688313.SH,0.006243108786322558,0.0003468393770179199,18,0.020475484566899085,0.023458460900196
600329.SH,0.00620755678357311,0.0001881077813203973,33,0.02094370603187229,0.0230455435164484
002602.SZ,0.006150792332762313,0.00038442452079764456,16,0.020639286577377524,0.0217945147545588
688502.SH,0.006014541355280975,0.0006014541355280975,10,0.02039625733875302,0.0217298260237422
600711.SH,0.006008897823422002,0.0003755561139638751,16,0.022179199565799782,0.0240730773276889
600783.SH,0.005891814591162166,0.0002678097541437348,22,0.021192573440713066,0.0275266850203535
000811.SZ,0.0058696844224778,0.0003668552764048625,16,0.02040229300068082,0.0226188221335261
000880.SZ,0.005802313581959091,0.000131870763226343,44,0.020303241683500003,0.0237775675877949
002265.SZ,0.005763852704993531,0.0002619933047724332,22,0.020583626870376213,0.0217330225520285
600643.SH,0.005761832362833247,0.0014404580907083117,4,0.021331289603492523,0.0225302225875683
688660.SH,0.005749388555897405,0.0019164628519658016,3,0.0199902541565337,0.0200940988184672
603169.SH,0.005607309335205104,0.0004313314873234695,13,0.02167435231199339,0.0254812931756881
601020.SH,0.005491729938647412,0.0006864662423309265,8,0.021062725678763126,0.0215867265459667
300620.SZ,0.005479106103539836,0.001369776525884959,4,0.02060126414129095,0.0207753738668656
601872.SH,0.0054753161843090386,0.0005475316184309039,10,0.021856763384058987,0.0261758496657864
605198.SH,0.0054613378733907765,0.00023744947275612072,23,0.019536076996329418,0.0223756252931361
002149.SZ,0.005441491278182597,0.00038867794844161407,14,0.019515148748319607,0.0211025816792808
688409.SH,0.005358240864048685,0.0005358240864048686,10,0.018820277831179698,0.0208836945142994
002261.SZ,0.005336326135693494,0.000592925126188166,9,0.0215564419275921,0.0243215308718446
301018.SZ,0.005331012347780287,3.702091908180755e-05,144,0.019193611737421054,0.0226319125411272
600986.SH,0.005233607199641767,0.00020129258460160643,26,0.021747848021557405,0.0236517051335979
600961.SH,0.005202431423426371,0.0010404862846852742,5,0.02194365552792288,0.0240487110664592
002046.SZ,0.005197302527324334,0.0006496628159155418,8,0.021504457247264488,0.0255834327829277
002354.SZ,0.005143962167462746,0.0008573270279104576,6,0.02014555804931765,0.0211150244893233
300718.SZ,0.005098253230326272,0.0005664725811473635,9,0.020403875040711943,0.0220720589476994
601137.SH,0.005007074542122002,0.0008345124236870003,6,0.020425831180775216,0.021225564593013
603083.SH,0.004978062521524138,0.0002928272071484787,17,0.021109802302623035,0.0233299707542259
601609.SH,0.004941346920269469,0.0012353367300673673,4,0.021626157359649498,0.0239207227507568
600629.SH,0.004811142776340182,5.59435206551184e-05,86,0.01856984637276958,0.0243120939256204
003031.SZ,0.004801229364202049,0.00032008195761346997,15,0.020851934259409455,0.022650718511847
605555.SH,0.0047789971256577335,0.0002811174779798667,17,0.02024849572683267,0.0208929985508822
300260.SZ,0.004770399606854412,0.0003180266404569608,15,0.020700198401017392,0.0247667169885641
002251.SZ,0.004766609391968557,0.0009533218783937114,5,0.02076101794210774,0.021767294933728
688368.SH,0.0047379962454049225,4.7379962454049226e-05,100,0.020034177672523194,0.0253448383824997
301061.SZ,0.004671221533356697,4.4068127673176385e-05,106,0.020257746100276235,0.0248591104239995
600208.SH,0.004650834459159744,0.00024478076100840755,19,0.02040188507121822,0.0217738554218018
300337.SZ,0.004627819430152625,0.00012855053972646183,36,0.019361265225360046,0.0216008655487254
300757.SZ,0.00461216449068109,0.0001844865796272436,25,0.02012789831480945,0.0223689625195445
600026.SH,0.004555443422084618,0.0011388608555211546,4,0.020455176856695574,0.0219304954450975
002056.SZ,0.004551260479873708,0.00023954002525651097,19,0.019391156170317836,0.0206724978056654
688349.SH,0.004537779280052825,6.30247122229559e-05,72,0.019942351711556408,0.0224893811122552
301392.SZ,0.004533845343749338,0.00016792019791664215,27,0.021443055629612247,0.0235094715356189
603124.SH,0.004473508879778037,0.000406682625434367,11,0.020205031234106646,0.0218039462214593
