data_type,synthetic_data,mock_data,download_source,symbol,qlib_symbol,name,weight,source
real_akshare,False,False,akshare,002648.SZ,SZ002648,卫星化学,,index_stock_cons_csindex
real_akshare,False,False,akshare,002709.SZ,SZ002709,天赐材料,,index_stock_cons_csindex
real_akshare,False,False,akshare,002714.SZ,SZ002714,牧原股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,002736.SZ,SZ002736,国信证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,002837.SZ,SZ002837,英维克,,index_stock_cons_csindex
real_akshare,False,False,akshare,002916.SZ,SZ002916,深南电路,,index_stock_cons_csindex
real_akshare,False,False,akshare,002920.SZ,SZ002920,德赛西威,,index_stock_cons_csindex
real_akshare,False,False,akshare,002938.SZ,SZ002938,鹏鼎控股,,index_stock_cons_csindex
real_akshare,False,False,akshare,003816.SZ,SZ003816,中国广核,,index_stock_cons_csindex
real_akshare,False,False,akshare,300014.SZ,SZ300014,亿纬锂能,,index_stock_cons_csindex
real_akshare,False,False,akshare,300015.SZ,SZ300015,爱尔眼科,,index_stock_cons_csindex
real_akshare,False,False,akshare,300033.SZ,SZ300033,同花顺,,index_stock_cons_csindex
real_akshare,False,False,akshare,300059.SZ,SZ300059,东方财富,,index_stock_cons_csindex
real_akshare,False,False,akshare,300122.SZ,SZ300122,智飞生物,,index_stock_cons_csindex
real_akshare,False,False,akshare,300124.SZ,SZ300124,汇川技术,,index_stock_cons_csindex
real_akshare,False,False,akshare,300251.SZ,SZ300251,光线传媒,,index_stock_cons_csindex
real_akshare,False,False,akshare,300274.SZ,SZ300274,阳光电源,,index_stock_cons_csindex
real_akshare,False,False,akshare,300308.SZ,SZ300308,中际旭创,,index_stock_cons_csindex
real_akshare,False,False,akshare,300316.SZ,SZ300316,晶盛机电,,index_stock_cons_csindex
real_akshare,False,False,akshare,300394.SZ,SZ300394,天孚通信,,index_stock_cons_csindex
real_akshare,False,False,akshare,300408.SZ,SZ300408,三环集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,300413.SZ,SZ300413,芒果超媒,,index_stock_cons_csindex
real_akshare,False,False,akshare,300418.SZ,SZ300418,昆仑万维,,index_stock_cons_csindex
real_akshare,False,False,akshare,300433.SZ,SZ300433,蓝思科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,300442.SZ,SZ300442,润泽科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,300450.SZ,SZ300450,先导智能,,index_stock_cons_csindex
real_akshare,False,False,akshare,300476.SZ,SZ300476,胜宏科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,300498.SZ,SZ300498,温氏股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,300502.SZ,SZ300502,新易盛,,index_stock_cons_csindex
real_akshare,False,False,akshare,300628.SZ,SZ300628,亿联网络,,index_stock_cons_csindex
real_akshare,False,False,akshare,300661.SZ,SZ300661,圣邦股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,300750.SZ,SZ300750,宁德时代,,index_stock_cons_csindex
real_akshare,False,False,akshare,300760.SZ,SZ300760,迈瑞医疗,,index_stock_cons_csindex
real_akshare,False,False,akshare,300803.SZ,SZ300803,指南针,,index_stock_cons_csindex
real_akshare,False,False,akshare,300832.SZ,SZ300832,新产业,,index_stock_cons_csindex
real_akshare,False,False,akshare,300866.SZ,SZ300866,安克创新,,index_stock_cons_csindex
real_akshare,False,False,akshare,300896.SZ,SZ300896,爱美客,,index_stock_cons_csindex
real_akshare,False,False,akshare,300999.SZ,SZ300999,金龙鱼,,index_stock_cons_csindex
real_akshare,False,False,akshare,301165.SZ,SZ301165,锐捷网络,,index_stock_cons_csindex
real_akshare,False,False,akshare,301236.SZ,SZ301236,软通动力,,index_stock_cons_csindex
real_akshare,False,False,akshare,301269.SZ,SZ301269,华大九天,,index_stock_cons_csindex
real_akshare,False,False,akshare,301308.SZ,SZ301308,江波龙,,index_stock_cons_csindex
real_akshare,False,False,akshare,302132.SZ,SZ302132,中航成飞,,index_stock_cons_csindex
real_akshare,False,False,akshare,600000.SH,SH600000,浦发银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600009.SH,SH600009,上海机场,,index_stock_cons_csindex
real_akshare,False,False,akshare,600010.SH,SH600010,包钢股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,600011.SH,SH600011,华能国际,,index_stock_cons_csindex
real_akshare,False,False,akshare,600015.SH,SH600015,华夏银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600016.SH,SH600016,民生银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600018.SH,SH600018,上港集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,600019.SH,SH600019,宝钢股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,600023.SH,SH600023,浙能电力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600025.SH,SH600025,华能水电,,index_stock_cons_csindex
real_akshare,False,False,akshare,600026.SH,SH600026,中远海能,,index_stock_cons_csindex
real_akshare,False,False,akshare,600027.SH,SH600027,华电国际,,index_stock_cons_csindex
real_akshare,False,False,akshare,600028.SH,SH600028,中国石化,,index_stock_cons_csindex
real_akshare,False,False,akshare,600029.SH,SH600029,南方航空,,index_stock_cons_csindex
real_akshare,False,False,akshare,600030.SH,SH600030,中信证券,,index_stock_cons_csindex
real_akshare,False,False,akshare,600031.SH,SH600031,三一重工,,index_stock_cons_csindex
real_akshare,False,False,akshare,600036.SH,SH600036,招商银行,,index_stock_cons_csindex
real_akshare,False,False,akshare,600039.SH,SH600039,四川路桥,,index_stock_cons_csindex
real_akshare,False,False,akshare,600048.SH,SH600048,保利发展,,index_stock_cons_csindex
real_akshare,False,False,akshare,600050.SH,SH600050,中国联通,,index_stock_cons_csindex
real_akshare,False,False,akshare,600061.SH,SH600061,国投资本,,index_stock_cons_csindex
real_akshare,False,False,akshare,600066.SH,SH600066,宇通客车,,index_stock_cons_csindex
real_akshare,False,False,akshare,600085.SH,SH600085,同仁堂,,index_stock_cons_csindex
real_akshare,False,False,akshare,600089.SH,SH600089,特变电工,,index_stock_cons_csindex
real_akshare,False,False,akshare,600104.SH,SH600104,上汽集团,,index_stock_cons_csindex
real_akshare,False,False,akshare,600111.SH,SH600111,北方稀土,,index_stock_cons_csindex
real_akshare,False,False,akshare,600115.SH,SH600115,中国东航,,index_stock_cons_csindex
real_akshare,False,False,akshare,600118.SH,SH600118,中国卫星,,index_stock_cons_csindex
real_akshare,False,False,akshare,600150.SH,SH600150,中国船舶,,index_stock_cons_csindex
real_akshare,False,False,akshare,600160.SH,SH600160,巨化股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,600176.SH,SH600176,中国巨石,,index_stock_cons_csindex
real_akshare,False,False,akshare,600183.SH,SH600183,生益科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,600188.SH,SH600188,兖矿能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,600196.SH,SH600196,复星医药,,index_stock_cons_csindex
real_akshare,False,False,akshare,600219.SH,SH600219,南山铝业,,index_stock_cons_csindex
real_akshare,False,False,akshare,600221.SH,SH600221,海航控股,,index_stock_cons_csindex
real_akshare,False,False,akshare,600233.SH,SH600233,圆通速递,,index_stock_cons_csindex
real_akshare,False,False,akshare,600276.SH,SH600276,恒瑞医药,,index_stock_cons_csindex
real_akshare,False,False,akshare,600309.SH,SH600309,万华化学,,index_stock_cons_csindex
real_akshare,False,False,akshare,600346.SH,SH600346,恒力石化,,index_stock_cons_csindex
real_akshare,False,False,akshare,600362.SH,SH600362,江西铜业,,index_stock_cons_csindex
real_akshare,False,False,akshare,600372.SH,SH600372,中航机载,,index_stock_cons_csindex
real_akshare,False,False,akshare,600406.SH,SH600406,国电南瑞,,index_stock_cons_csindex
real_akshare,False,False,akshare,600415.SH,SH600415,小商品城,,index_stock_cons_csindex
real_akshare,False,False,akshare,600426.SH,SH600426,华鲁恒升,,index_stock_cons_csindex
real_akshare,False,False,akshare,600436.SH,SH600436,片仔癀,,index_stock_cons_csindex
real_akshare,False,False,akshare,600438.SH,SH600438,通威股份,,index_stock_cons_csindex
real_akshare,False,False,akshare,600460.SH,SH600460,士兰微,,index_stock_cons_csindex
real_akshare,False,False,akshare,600482.SH,SH600482,中国动力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600489.SH,SH600489,中金黄金,,index_stock_cons_csindex
real_akshare,False,False,akshare,600515.SH,SH600515,海南机场,,index_stock_cons_csindex
real_akshare,False,False,akshare,600519.SH,SH600519,贵州茅台,,index_stock_cons_csindex
real_akshare,False,False,akshare,600522.SH,SH600522,中天科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,600547.SH,SH600547,山东黄金,,index_stock_cons_csindex
real_akshare,False,False,akshare,600549.SH,SH600549,厦门钨业,,index_stock_cons_csindex
real_akshare,False,False,akshare,600570.SH,SH600570,恒生电子,,index_stock_cons_csindex
real_akshare,False,False,akshare,600584.SH,SH600584,长电科技,,index_stock_cons_csindex
real_akshare,False,False,akshare,600585.SH,SH600585,海螺水泥,,index_stock_cons_csindex
real_akshare,False,False,akshare,600588.SH,SH600588,用友网络,,index_stock_cons_csindex
real_akshare,False,False,akshare,600600.SH,SH600600,青岛啤酒,,index_stock_cons_csindex
real_akshare,False,False,akshare,600660.SH,SH600660,福耀玻璃,,index_stock_cons_csindex
real_akshare,False,False,akshare,600674.SH,SH600674,川投能源,,index_stock_cons_csindex
real_akshare,False,False,akshare,600690.SH,SH600690,海尔智家,,index_stock_cons_csindex
real_akshare,False,False,akshare,600741.SH,SH600741,华域汽车,,index_stock_cons_csindex
real_akshare,False,False,akshare,600760.SH,SH600760,中航沈飞,,index_stock_cons_csindex
real_akshare,False,False,akshare,600795.SH,SH600795,国电电力,,index_stock_cons_csindex
real_akshare,False,False,akshare,600803.SH,SH600803,新奥股份,,index_stock_cons_csindex
