year,selected_rows,invalid_ohlc_selected_rows,invalid_limit_selected_rows,vwap_unit_outlier_selected_rows,failed_selected_rows,warning_selected_rows,invalid_ohlc_selected_ratio,invalid_limit_selected_ratio,vwap_unit_outlier_selected_ratio,failed_selected_ratio,warning_selected_ratio
2018,138983,1277,4349,6218,4354,4136,0.009188174093234424,0.03129159681399883,0.0447392846607139,0.031327572436916744,0.029759035277695835
2019,150545,1307,4143,5497,4143,3429,0.008681789498156697,0.027520010628051414,0.036513999136470826,0.027520010628051414,0.022777242684911488
2020,158879,1214,4899,3419,4904,1615,0.007641035001479113,0.030834786220960607,0.021519521145022313,0.030866256711082018,0.010164968309216448
2021,170225,172,3828,1068,3830,617,0.0010104273755323836,0.022487883683360257,0.006274049052724336,0.022499632838889706,0.00362461448083419
2022,178031,1,1874,515,1874,438,5.61699928664109e-06,0.010526256663165404,0.0028927546326201615,0.010526256663165404,0.0024602456875487976
2023,185357,0,853,105,853,107,0.0,0.004601930329040716,0.0005664744250284586,0.004601930329040716,0.0005772644140766197
2024,189352,0,1834,0,1834,11,0.0,0.009685664793611897,0.0,0.009685664793611897,5.809286408382272e-05
2025,192069,0,1472,0,1472,5,0.0,0.00766391244813062,0.0,0.00766391244813062,2.6032311304791506e-05
2026,89256,0,765,0,765,8,0.0,0.008570852379671956,0.0,0.008570852379671956,8.962982880702697e-05
