symbol,industry,industry_source,rows,selected_rows,has_industry,is_unknown
688223.SH,电力设备,eastmoney_board_industry,1065,989,True,False
688232.SH,垂直应用软件,akshare_metadata_cache,1114,1034,True,False
688234.SH,电子,akshare_metadata_cache,1075,999,True,False
688235.SH,化学制剂,akshare_metadata_cache,1094,1016,True,False
688248.SH,电网设备,eastmoney_board_industry,1089,1011,True,False
688252.SH,数字芯片设计,akshare_metadata_cache,903,825,True,False
688256.SH,数字芯片设计,akshare_metadata_cache,1437,1357,True,False
688262.SH,数字芯片设计,akshare_metadata_cache,1079,1003,True,False
688266.SH,化学制剂,akshare_metadata_cache,1552,1476,True,False
688271.SH,医疗设备,akshare_metadata_cache,928,848,True,False
688278.SH,其他生物制品,akshare_metadata_cache,1556,1480,True,False
688279.SH,数字芯片设计,akshare_metadata_cache,1012,930,True,False
688281.SH,航空装备Ⅱ,eastmoney_board_industry,1042,962,True,False
688289.SH,医药生物,akshare_metadata_cache,1408,1328,True,False
688295.SH,化学纤维,akshare_metadata_cache,1022,940,True,False
688297.SH,航空装备Ⅱ,akshare_metadata_cache,966,886,True,False
688300.SH,非金属材料Ⅱ,akshare_metadata_cache,1600,1521,True,False
688301.SH,医疗设备,akshare_metadata_cache,1393,1314,True,False
688303.SH,电力设备,akshare_metadata_cache,1191,1112,True,False
688306.SH,其他自动化设备,akshare_metadata_cache,1031,951,True,False
688313.SH,通信设备,akshare_metadata_cache,1411,1331,True,False
688318.SH,垂直应用软件,akshare_metadata_cache,1492,1411,True,False
688321.SH,化学制剂,akshare_metadata_cache,1663,1583,True,False
688322.SH,电子,akshare_metadata_cache,960,880,True,False
688326.SH,垂直应用软件,akshare_metadata_cache,1013,931,True,False
688327.SH,IT服务Ⅱ,akshare_metadata_cache,988,904,True,False
688331.SH,其他生物制品,akshare_metadata_cache,1024,944,True,False
688332.SH,数字芯片设计,akshare_metadata_cache,954,874,True,False
688333.SH,通用设备,akshare_metadata_cache,1678,1598,True,False
688336.SH,其他生物制品,akshare_metadata_cache,1435,1159,True,False
688343.SH,IT服务Ⅱ,akshare_metadata_cache,779,699,True,False
688347.SH,集成电路制造,akshare_metadata_cache,686,606,True,False
688349.SH,电力设备,eastmoney_board_industry,971,891,True,False
688351.SH,医疗耗材,eastmoney_board_industry,921,841,True,False
688352.SH,电子,akshare_metadata_cache,768,687,True,False
688353.SH,电池化学品,akshare_metadata_cache,956,812,True,False
688361.SH,电子,akshare_metadata_cache,750,666,True,False
688362.SH,电子,akshare_metadata_cache,872,792,True,False
688363.SH,医美耗材,akshare_metadata_cache,1607,1528,True,False
688368.SH,模拟芯片设计,akshare_metadata_cache,1604,1525,True,False
688372.SH,电子,akshare_metadata_cache,887,807,True,False
688375.SH,军工电子Ⅱ,eastmoney_board_industry,949,869,True,False
688380.SH,数字芯片设计,akshare_metadata_cache,939,859,True,False
688382.SH,化学制剂,akshare_metadata_cache,948,868,True,False
688385.SH,数字芯片设计,eastmoney_board_industry,1182,1103,True,False
688387.SH,通信设备,akshare_metadata_cache,904,825,True,False
688388.SH,电池,akshare_metadata_cache,1678,1598,True,False
688390.SH,电力设备,akshare_metadata_cache,1403,1324,True,False
688392.SH,电池,akshare_metadata_cache,903,825,True,False
688396.SH,集成电路制造,akshare_metadata_cache,1533,1452,True,False
688400.SH,机械设备,akshare_metadata_cache,961,881,True,False
688403.SH,电子,akshare_metadata_cache,930,850,True,False
688408.SH,电力设备,akshare_metadata_cache,1408,1328,True,False
688409.SH,电子,akshare_metadata_cache,899,819,True,False
688411.SH,其他电源设备Ⅱ,akshare_metadata_cache,338,262,True,False
688425.SH,机械设备,akshare_metadata_cache,1213,1134,True,False
688432.SH,电子,akshare_metadata_cache,876,796,True,False
688433.SH,通用设备,akshare_metadata_cache,771,690,True,False
688439.SH,军工电子Ⅱ,akshare_metadata_cache,924,844,True,False
688443.SH,其他生物制品,akshare_metadata_cache,728,650,True,False
688449.SH,数字芯片设计,akshare_metadata_cache,378,299,True,False
688469.SH,集成电路制造,akshare_metadata_cache,757,673,True,False
688472.SH,电力设备,eastmoney_board_industry,735,657,True,False
688475.SH,计算机,akshare_metadata_cache,842,763,True,False
688484.SH,模拟芯片设计,akshare_metadata_cache,777,696,True,False
688486.SH,数字芯片设计,akshare_metadata_cache,809,727,True,False
688498.SH,分立器件,eastmoney_board_industry,847,768,True,False
688502.SH,电子,akshare_metadata_cache,797,717,True,False
688503.SH,电力设备,akshare_metadata_cache,855,776,True,False
688506.SH,其他生物制品,akshare_metadata_cache,836,759,True,False
688515.SH,模拟芯片设计,akshare_metadata_cache,816,734,True,False
688516.SH,电力设备,akshare_metadata_cache,1477,1393,True,False
688519.SH,印制电路板,akshare_metadata_cache,1416,1336,True,False
688520.SH,其他生物制品,eastmoney_board_industry,1455,1377,True,False
688521.SH,数字芯片设计,eastmoney_board_industry,1406,1326,True,False
688522.SH,军工电子Ⅱ,eastmoney_board_industry,793,713,True,False
688523.SH,国防军工,akshare_metadata_cache,740,657,True,False
688531.SH,机械设备,akshare_metadata_cache,771,691,True,False
688536.SH,模拟芯片设计,eastmoney_board_industry,1372,1293,True,False
688538.SH,电子,eastmoney_board_industry,1229,1146,True,False
688543.SH,地面兵装Ⅱ,akshare_metadata_cache,727,649,True,False
688545.SH,电子,akshare_metadata_cache,341,265,True,False
688548.SH,电子,eastmoney_board_industry,690,610,True,False
688549.SH,电子,akshare_metadata_cache,672,593,True,False
688552.SH,军工电子Ⅱ,akshare_metadata_cache,751,667,True,False
688559.SH,自动化设备,akshare_metadata_cache,1400,1321,True,False
688561.SH,计算机,akshare_metadata_cache,1435,1355,True,False
688563.SH,航空装备Ⅱ,akshare_metadata_cache,709,629,True,False
688567.SH,电池,akshare_metadata_cache,1431,1351,True,False
688568.SH,IT服务Ⅱ,akshare_metadata_cache,1445,1365,True,False
688578.SH,化学制剂,eastmoney_board_industry,1346,1266,True,False
688582.SH,模拟芯片设计,akshare_metadata_cache,722,642,True,False
688584.SH,电子,eastmoney_board_industry,570,495,True,False
688586.SH,航空装备Ⅱ,akshare_metadata_cache,1428,1348,True,False
688591.SH,数字芯片设计,akshare_metadata_cache,677,597,True,False
688593.SH,数字芯片设计,akshare_metadata_cache,731,637,True,False
688596.SH,机械设备,eastmoney_board_industry,1414,1334,True,False
688599.SH,电力设备,akshare_metadata_cache,1463,1384,True,False
688605.SH,电子,akshare_metadata_cache,369,291,True,False
688608.SH,数字芯片设计,eastmoney_board_industry,1336,1257,True,False
688612.SH,汽车零部件,akshare_metadata_cache,704,624,True,False
688615.SH,垂直应用软件,akshare_metadata_cache,419,339,True,False
688617.SH,医疗耗材,akshare_metadata_cache,1321,1244,True,False
688627.SH,通用设备,eastmoney_board_industry,710,630,True,False
