symbol,avg_weight,max_weight,holding_days,first_date,last_date
601988.SH,0.0215769366000682,0.0233139920990284,7,2023-05-25,2024-02-06
603260.SH,0.021218412448044066,0.024811005975355,78,2023-01-05,2024-11-28
601698.SH,0.020976921669126024,0.0284690492769785,68,2023-02-09,2024-12-31
600061.SH,0.02074888277395016,0.0228462495051904,15,2023-01-20,2024-11-25
601658.SH,0.02071408220585802,0.0234228914894521,38,2023-01-05,2024-10-25
601077.SH,0.02061101969511778,0.0212695345375766,11,2024-06-28,2024-10-14
601018.SH,0.020581742029671227,0.0210937137051244,7,2023-10-31,2024-01-30
688981.SH,0.020574892889677933,0.0226884262071218,49,2023-03-16,2024-12-20
300015.SZ,0.020566427737126174,0.0226129826502233,67,2023-02-01,2024-11-27
601066.SH,0.020555342145861577,0.0218379284654412,8,2023-01-16,2023-05-10
600926.SH,0.020539325799741444,0.0230509042314037,21,2023-01-05,2024-10-29
601618.SH,0.02052907234508071,0.0237612531784716,26,2023-03-03,2024-11-19
600919.SH,0.02045629849566109,0.0230563116156221,21,2023-01-05,2024-11-14
300059.SZ,0.02044295935132685,0.0221888622475974,56,2023-01-06,2024-12-25
300502.SZ,0.02043785995049492,0.0314192487416291,347,2023-01-19,2024-12-31
600160.SH,0.020370170711949458,0.0250290377717936,182,2023-02-13,2024-12-31
601186.SH,0.020369610405275414,0.0229558415900497,67,2023-03-07,2024-11-19
000895.SZ,0.02035582514285664,0.0213194230248731,12,2023-02-23,2024-12-10
600221.SH,0.020341257787671308,0.0213991439799457,28,2023-04-04,2024-12-31
688126.SH,0.020332152098484543,0.0220749500513894,36,2023-02-08,2024-12-30
600028.SH,0.02032565399796842,0.0216108053459051,43,2023-03-29,2024-09-27
002371.SZ,0.020325033364397806,0.0241709672517242,135,2023-02-16,2024-12-18
600016.SH,0.02031951036801578,0.0213596151389281,5,2023-11-10,2024-01-31
603392.SH,0.020309722125948854,0.0222902460409152,108,2023-01-30,2024-12-06
601328.SH,0.020305489961747587,0.0215592310261796,21,2023-08-08,2024-10-25
300832.SZ,0.020287082302282277,0.0235028386355128,118,2023-01-04,2024-12-31
600415.SH,0.02027121714824532,0.0231105476576093,88,2023-03-22,2024-12-31
603501.SH,0.020266486264562185,0.0221063616495428,67,2023-01-18,2024-12-31
600900.SH,0.02026543351833632,0.0212766868740077,14,2023-05-09,2024-08-01
600104.SH,0.020258117646920582,0.0212337388651565,18,2023-10-30,2024-12-31
002241.SZ,0.02025686020866113,0.0215962316196106,115,2023-02-20,2024-12-27
601766.SH,0.02024921293707545,0.0227239497366015,60,2023-04-04,2024-12-26
002475.SZ,0.02024806674590171,0.0219056542318517,108,2023-01-04,2024-12-23
601229.SH,0.020247522587804836,0.0211754450320356,18,2024-06-03,2024-12-04
600183.SH,0.020243500038012268,0.0213316181762169,79,2023-01-04,2024-12-20
002600.SZ,0.02024340428367084,0.0225573147454856,71,2023-03-08,2024-12-27
688271.SH,0.02023648849055074,0.0223567566022792,49,2023-01-11,2024-12-26
601318.SH,0.02023421438088459,0.0237579814103264,44,2023-01-05,2024-12-05
601998.SH,0.020228398261957152,0.0220865847322676,26,2023-03-06,2024-09-27
601169.SH,0.02020961810622099,0.0219215366867203,20,2023-07-13,2024-10-11
000408.SZ,0.02020789544700821,0.0218659293996135,59,2023-02-17,2024-11-28
600115.SH,0.020207370510590558,0.020782661145745,18,2023-04-06,2024-05-10
601111.SH,0.02020485706806856,0.0231944236868687,38,2023-03-17,2024-12-23
300999.SZ,0.020202947889546862,0.0214802466911528,34,2023-01-16,2024-05-17
600795.SH,0.020196902530306475,0.0207276522753619,30,2023-01-09,2024-06-20
600015.SH,0.02018916304024676,0.0209202296341006,17,2023-04-21,2024-09-25
600018.SH,0.0201860573290793,0.0208542845628957,23,2024-01-15,2024-08-23
601916.SH,0.020183274964431935,0.020250554017675,3,2024-07-04,2024-07-08
002532.SZ,0.02018295151026478,0.0224222119748019,99,2023-01-17,2024-12-03
002938.SZ,0.020181467929442046,0.0228911735815891,121,2023-01-20,2024-12-31
