date,open,high,low,close,volume,amount,symbol,data_source,amount_estimated,price_adjust,source_priority,source_fetch_time,source_error,volume_unit,quality_flags,factor,is_paused,is_st,list_date,list_date_fallback,industry,limit_up,limit_down,has_valid_ohlc,has_valid_volume,has_valid_amount,has_valid_limit,has_valid_list_date,has_valid_industry,listed_days,listed_days_fallback,avg_amount,eligible,liquidity_rank,selected,industry_source,industry_update_date,previous_amount,amount_pct_change
2018-02-22,3.6,3.78,3.6,3.64,17852500.0,68640623.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,4.18,3.42,True,True,True,True,True,True,7605,False,29999546.65,True,,True,akshare_metadata_cache,,3171509.0,20.64289081317442
2019-04-22,3.89,3.98,3.88,3.88,24736500.0,102033961.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,4.4990000000000006,3.681,True,True,True,True,True,True,8029,False,61650700.85,True,,True,akshare_metadata_cache,,4786760.0,20.315871487185486
2020-02-04,2.3,2.33,2.3,2.3,8025300.0,20178306.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,2.6730000000000005,2.1870000000000003,True,True,True,True,True,True,8317,False,9213952.2,False,,False,akshare_metadata_cache,,579216.0,33.83727314162592
2020-07-14,3.16,3.16,2.93,3.05,35407900.0,115627972.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,3.3000000000000003,2.7,True,True,True,True,True,True,8478,False,16839579.75,True,,True,akshare_metadata_cache,,3146798.0,35.74464392058213
2020-10-09,3.91,3.91,3.51,3.59,17535000.0,69348839.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,4.081,3.339,True,True,True,True,True,True,8565,False,23865864.45,True,,True,akshare_metadata_cache,,2680888.0,24.86786132057736
2021-02-26,5.89,5.89,5.32,5.39,39976500.0,230550071.0,000737.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.705716+00:00,,share,,1.0,False,False,1997-04-28,False,C 制造业,6.171000000000001,5.049,True,True,True,True,True,True,8705,False,25254929.3,True,,True,akshare_metadata_cache,,5630308.0,39.94803889947051
2021-10-25,32.18,32.35,30.04,30.71,42174400.0,1367583536.0,000739.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:54.276406+00:00,,share,,1.0,False,False,1997-05-09,False,C 制造业,36.894000000000005,30.186,True,True,True,True,True,True,8935,False,447320825.3,True,,True,akshare_metadata_cache,,52852592.0,24.875429837007804
2024-10-09,5.8,5.8,5.09,5.14,1463953500.0,8347136798.9,000750.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:12.756113+00:00,,share,,1.0,False,False,1997-07-09,False,J 金融业,5.797,4.742999999999999,True,True,True,True,True,True,9954,False,1043460089.4029999,True,,True,akshare_metadata_cache,,275287822.11,29.32148946844672
2019-01-31,11.13,11.13,9.56,9.65,51715500.0,568997984.0,000785.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.052256+00:00,,share,,1.0,False,False,1997-07-11,False,L 商务服务,11.286000000000001,9.234,True,True,True,True,True,True,7874,False,37069549.5,True,,True,akshare_metadata_cache,,17587967.0,31.35154944286625
2021-08-10,39.22,43.9,32.41,35.9,785246100.0,29924287232.0,000792.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.357876+00:00,,share,,1.0,False,False,1997-09-04,False,C 制造业,9.724,7.956,True,True,True,False,True,True,8741,False,1618847947.4,True,,True,akshare_metadata_cache,,296434464.0,99.94739602207657
2019-04-16,9.85,9.85,9.67,9.85,48179400.0,540868064.0,000800.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.378700+00:00,,share,,1.0,False,False,1997-06-18,False,C 制造业,9.713000000000001,7.947,True,True,True,False,True,True,7972,False,190412472.85,True,,True,akshare_metadata_cache,,15347692.0,34.24100327267448
2018-05-07,4.8,5.21,4.8,4.98,17412000.0,87093883.0,000893.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.844975+00:00,,share,,1.0,False,False,1998-12-24,False,C 制造业,5.566,4.553999999999999,True,True,True,True,True,True,7074,False,63105253.0,True,,True,akshare_metadata_cache,,2433002.0,34.796880972559826
2019-03-28,6.21,6.21,5.61,6.01,23800600.0,146315522.0,000893.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.844975+00:00,,share,,1.0,False,False,1998-12-24,False,C 制造业,6.501,5.319,True,True,True,True,True,True,7399,False,31419517.45,True,,True,akshare_metadata_cache,,1830086.0,78.95007994159837
2019-04-10,7.4,7.4,6.71,7.4,16074900.0,117999360.0,000893.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.844975+00:00,,share,,1.0,False,False,1998-12-24,False,C 制造业,7.744000000000001,6.336,True,True,True,True,True,True,7412,False,36529940.15,True,,True,akshare_metadata_cache,,1975916.0,58.718813957678364
2019-05-14,7.73,7.73,7.1,7.65,9305800.0,71869814.0,000893.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:13.844975+00:00,,share,,1.0,False,False,1998-12-24,False,C 制造业,8.096000000000002,6.6240000000000006,True,True,True,True,True,True,7446,False,42228919.45,True,,True,akshare_metadata_cache,,1899621.0,36.833764735176125
2021-09-15,5.08,5.42,4.16,5.27,479099300.0,4254102704.0,000937.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:14.038911+00:00,,share,,1.0,False,False,1999-09-09,False,B 采矿业,5.104,4.176,True,True,True,False,True,True,8042,False,477758391.3,True,,True,akshare_metadata_cache,,117534892.0,35.194381358686236
2021-02-23,17.21,17.22,16.3,16.46,240318800.0,4322307072.0,000960.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:56.776460+00:00,,share,,1.0,False,False,2000-02-21,False,C 制造业,17.105,13.995000000000001,True,True,True,True,True,True,7673,False,756917849.7,True,,True,akshare_metadata_cache,,157840033.0,26.38409888700416
2022-07-11,25.81,25.81,20.98,20.98,12221000.0,744440000.0,001309.SZ,eastmoney,False,qfq,1,2026-06-28T08:46:15.134480+00:00,,share,,1.0,False,False,2022-07-01,False,C 制造业,25.740000000000002,21.06,True,True,True,False,True,True,10,False,115350511.14285715,False,,False,akshare_metadata_cache,,19504826.0,37.16696442203586
2018-07-20,9.75,9.75,8.87,9.12,399570800.0,4441048320.0,002027.SZ,eastmoney,False,qfq,1,2026-06-28T07:55:58.144044+00:00,,share,,1.0,False,False,2004-08-04,False,L 商务服务,9.988000000000001,8.172,True,True,True,True,True,True,5098,False,770046670.0,True,,True,akshare_metadata_cache,,201196456.0,21.073193575536937
