benchmark,up_market,months,avg_excess_return,hit_rate,total_excess_return
csi1000,False,6,-0.009620214690423068,0.3333333333333333,-0.05772128814253841
csi1000,True,12,0.038748457756862996,0.9166666666666666,0.4649814930823559
csi500,False,6,-0.00582344678464249,0.5,-0.03494068070785494
csi500,True,12,0.03245701678860741,0.9166666666666666,0.3894842014632889
hs300,False,6,-0.02153111404236317,0.3333333333333333,-0.129186684254179
hs300,True,12,0.05955863716879691,0.8333333333333334,0.7147036460255629
