industry,avg_weight,max_weight,days
C 制造业,0.40008389808329725,0.590752873840201,354
I 信息技术,0.06432136269307115,0.1988841625507343,349
数字芯片设计,0.042622982982883514,0.1210300688333871,308
电子,0.041868879566167416,0.1267833783837965,257
元件,0.03100842909211553,0.0428472520977021,6
化学制剂,0.030319609586985954,0.0760515587674443,120
铜,0.028295944231915237,0.0623408905839342,137
贵金属,0.028040063211866275,0.042153837241488704,67
汽车零部件,0.027608957636781447,0.0581059094199003,254
医药生物,0.027545697465302412,0.06377280524522841,89
电力设备,0.027524231617286336,0.09939192092381251,152
自动化设备,0.02743021008478597,0.0798334136291903,57
食品饮料,0.027359729147698925,0.0635236753680799,93
F 批发零售,0.027089130462202748,0.0804536084913058,156
通用设备,0.02682711031139971,0.0606398166117722,119
IT服务Ⅱ,0.026598694682889716,0.1020579054528684,194
B 采矿业,0.026554104166704662,0.0782089500679068,178
银行Ⅱ,0.02653757968899736,0.0411548141535491,51
J 金融业,0.026355215027818044,0.061290949544958,52
机械设备,0.026172510096440917,0.061480490392437,118
电池化学品,0.025236664623745773,0.0622144765439413,88
L 商务服务,0.025067463119153217,0.0811189250220976,152
底盘与发动机系统,0.025037894555913764,0.0611219350994711,151
一般零售,0.024301238627806632,0.039853440841351,9
分立器件,0.024219382424500602,0.0579466845936555,197
消费电子,0.024115797144844867,0.061270661771084506,227
汽车,0.023655380042502606,0.0415782856591181,171
基础建设,0.023578700094595173,0.0420335284553619,7
D 水电煤气,0.023573156224582878,0.042565027979653294,40
垂直应用软件,0.02332943629668155,0.058110114869121696,176
印制电路板,0.02300229029049631,0.0596511549925071,180
有色金属,0.022965443941969428,0.0402329215651161,94
通信设备,0.022959129322236607,0.0722459018279189,143
M 科研服务,0.022950957680319274,0.056926893258711,71
电池,0.022898037410805948,0.0416092419127907,74
其他计算机设备,0.02283710874277001,0.041063985348630205,92
化学原料,0.022814842051870784,0.0408524705797431,100
建筑材料,0.022773854248727774,0.0440734006661727,48
集成电路制造,0.02255101840623039,0.0411084709411969,32
军工电子Ⅱ,0.02250755219830628,0.0606474227423493,68
模拟芯片设计,0.02241790867217756,0.0432820646316807,105
塑料,0.022416947505807246,0.0426521723652975,121
非金属材料Ⅱ,0.022241296727264385,0.0302015154418821,30
unknown,0.02209844271808059,0.0424683311510414,51
传媒,0.021982182803962802,0.04148129886522629,25
R 文化传播,0.02195118098494939,0.043968829563819006,52
板材,0.02175970714424529,0.0316074968607688,23
其他生物制品,0.021633056187245696,0.0402868021251923,84
农化制品,0.021583098487140094,0.042807699693158494,42
通信线缆及配套,0.021558014203249945,0.043394480546591896,102
磨具磨料,0.0215442172467901,0.0262300916232521,14
Q 卫生,0.02151594250729758,0.041481938925194,62
工业金属,0.02146165181039118,0.0417595930468515,88
金属制品,0.021417383564924432,0.06152194454938,98
百货,0.021330188533457074,0.0387019537727573,28
商业物业经营,0.021307400641782704,0.0414304644633034,76
化学制药,0.021126348253117558,0.0364092751856647,15
超市,0.0209615413453384,0.0218961243435027,3
地面兵装Ⅱ,0.020929769742462412,0.042985110611996696,53
专业服务,0.02087855855310705,0.0223334971666386,2
油气开采Ⅱ,0.0208372045464202,0.0214174118055759,3
公用事业,0.02083287862600905,0.0400328057133269,42
家电零部件Ⅱ,0.02077975639569835,0.0246536226375849,24
保健品,0.020738525940016,0.0221629223990417,3
稀土,0.020717743403737998,0.0232425298303612,26
纺织化学制品,0.0207065067997241,0.0222156518875414,8
建筑装饰,0.020696452982060076,0.0412834455496189,32
钟表珠宝,0.02068901892265118,0.0209734853925009,10
彩电,0.020675729931563774,0.0218888026014873,17
综合环境治理,0.02067033683632908,0.0284098309128426,39
航空装备Ⅱ,0.020639737491965158,0.039161015911179195,45
鞋帽及其他,0.0206206241620816,0.0206206241620816,1
住宅开发,0.02053206492185133,0.0409482303402294,23
燃气Ⅱ,0.02052702334811335,0.0208636467180555,2
油服工程,0.02047249083722254,0.0255342011643062,13
其他种植业,0.02045484676698924,0.0211204495198109,5
焦炭Ⅱ,0.020409235346604934,0.0207977462051048,3
固废治理,0.020348140243858667,0.0211869207177772,6
多元金融,0.020339508698704212,0.0240521995391778,46
A 农林牧渔,0.020337104565009992,0.0213859350324325,13
其他电子Ⅱ,0.020336371605466308,0.024612112643413,11
包装印刷,0.02033304366488201,0.0220994788965487,10
基础化工,0.02032802642829376,0.0222099148776481,38
其他自动化设备,0.020307726996554056,0.0229148453296274,39
农林牧渔,0.020259732319736514,0.0208593637399798,7
水泥制造,0.020254621693022473,0.0239264001313612,23
调味发酵品Ⅱ,0.020241710920365266,0.020526712570172,3
白酒Ⅱ,0.02022677182147803,0.0222432097828106,13
磷肥及磷化工,0.020195993956042338,0.022636339994457,46
电视广播Ⅱ,0.0201830594882564,0.020732432829432,4
膜材料,0.02014895756725869,0.0229228085455325,43
综合电力设备商,0.020134291641134745,0.0217538263049935,9
电网设备,0.020113525501021055,0.0222902489894355,33
N 公共环保,0.02011014117341403,0.0235574416098482,31
电机Ⅱ,0.020102579785319354,0.040528073179500496,79
S 综合,0.020089157234412867,0.023406983392012,30
航海装备Ⅱ,0.0200888842455099,0.0210145424327463,7
其他家居用品,0.0200591531140948,0.0200591531140948,1
期货,0.0200570653352366,0.0200570653352366,1
K 房地产,0.02003310862619398,0.0273471938069762,51
美容护理,0.020024741061968762,0.0207685495216469,11
其他农产品加工,0.020011972653623,0.020011972653623,1
航运,0.02000179257548918,0.0215735431369672,16
种植业,0.019986816406725616,0.0206941604430275,6
煤炭,0.019985957011949246,0.0216539748399143,29
E 建筑业,0.01996984391494458,0.0213375865712457,20
环境治理,0.019939659592576327,0.021805282022505,18
医疗耗材,0.0199317892349738,0.0203753287801853,2
金融控股,0.019929131742797975,0.0214428512019613,30
旅游零售Ⅱ,0.019905925331781517,0.0207618003416379,6
制冷空调设备,0.019897142864940376,0.0208991401165052,18
商贸零售,0.019872771414861455,0.0215158608943384,17
油品石化贸易,0.01986663945656158,0.0209349068239682,10
综合Ⅱ,0.019861637537967707,0.0226629847307116,34
食品及饲料添加剂,0.019852334926069515,0.020001368619801,6
园林工程,0.0198372818339703,0.020059590517928,4
国防军工,0.01981517076822132,0.0204006876805897,5
清洁小家电,0.019806759884858333,0.0219817946930776,33
油气及炼化工程,0.01979103229904125,0.0199986704636066,2
通信,0.019738315248492542,0.0408119117151894,89
厨卫电器,0.019727879436567602,0.0198337704517117,3
航空运输,0.01970189777797688,0.0234279594707131,52
文娱用品,0.01968823830955052,0.0203095058848056,9
印染,0.019670168026908765,0.0206773175291877,12
