symbol,avg_weight,max_weight,holding_days,first_date,last_date
002640.SZ,0.02359666858551563,0.0281772574606562,13,2025-04-03,2025-05-12
300480.SZ,0.023137825206695533,0.0262384324002395,20,2026-02-04,2026-03-19
300805.SZ,0.02312180049128825,0.0236087446616901,4,2025-01-06,2025-01-09
300402.SZ,0.022818920935040947,0.0230012973353168,2,2025-11-21,2025-11-24
601579.SH,0.022755390739144277,0.0268133236783836,9,2025-04-28,2025-05-28
002403.SZ,0.0227043106947624,0.0227043106947624,1,2025-01-06,2025-01-06
002132.SZ,0.02243710666430935,0.0242378333966702,4,2026-06-01,2026-06-04
601669.SH,0.022368205093934734,0.0244548848053725,3,2025-07-22,2025-07-24
001314.SZ,0.02228195046737044,0.0234197408732472,10,2025-02-17,2025-02-28
688300.SH,0.022241296727264385,0.0302015154418821,30,2025-01-14,2026-06-23
002145.SZ,0.0222088932425571,0.0229419067386319,5,2025-09-19,2025-09-25
002971.SZ,0.022173331221337647,0.0231812958230277,2,2026-06-11,2026-06-12
002966.SZ,0.022038155843582242,0.0262478998062386,20,2025-03-12,2025-04-09
002155.SZ,0.021897576425619354,0.0284681003725099,42,2025-03-05,2026-01-30
605499.SH,0.02181075003413839,0.0249109340129511,73,2025-01-20,2025-08-18
301021.SZ,0.021810670245952415,0.0263348756672343,18,2026-01-08,2026-06-17
002792.SZ,0.021807134229918756,0.0257482502780064,19,2025-12-01,2026-05-20
600126.SH,0.02180481872160992,0.0316074968607688,22,2025-02-06,2026-04-24
603662.SH,0.021700773165450476,0.0222100021328352,4,2025-02-17,2025-02-20
002028.SZ,0.021630775065171838,0.0253266612760481,45,2025-10-21,2026-05-25
603993.SH,0.021600530035322148,0.0282723413602095,84,2025-03-18,2026-04-01
603989.SH,0.021586549519470002,0.0220959344821579,3,2026-06-18,2026-06-23
688733.SH,0.021586129124316657,0.0233805574839345,7,2025-11-14,2025-12-02
300232.SZ,0.021584776113019524,0.0222289786456513,8,2025-03-03,2025-03-12
000736.SZ,0.021573609370429438,0.0221844094006926,5,2025-02-10,2025-02-18
600172.SH,0.0215442172467901,0.0262300916232521,14,2025-10-22,2026-06-24
688625.SH,0.02154131891580982,0.0222099148776481,5,2026-06-02,2026-06-08
300898.SZ,0.0214738157235187,0.0227034254098657,6,2025-01-06,2025-01-14
600651.SH,0.02144624445395334,0.0267979517553022,13,2025-08-15,2025-10-10
600067.SH,0.02143983314597525,0.0220143994350264,2,2025-11-13,2025-11-14
603083.SH,0.02143326892025803,0.0307698942305144,40,2025-05-26,2026-05-19
002827.SZ,0.02137432949914345,0.0277387886130195,10,2025-06-17,2025-07-24
000862.SZ,0.0213547108134007,0.0213547108134007,1,2026-03-23,2026-03-23
300658.SZ,0.02130422336802776,0.0243969939112267,18,2026-02-26,2026-05-15
603256.SH,0.02128125709235072,0.0294551846430372,43,2025-06-24,2026-05-29
300867.SZ,0.021256561204960764,0.0235574416098482,9,2025-06-12,2025-12-05
300086.SZ,0.021253870152775734,0.0220110074644223,3,2025-11-03,2025-11-05
301349.SZ,0.021250275809060075,0.0226408893767528,8,2025-11-21,2025-12-08
688027.SH,0.021249400367776086,0.0230919799398038,30,2025-09-16,2026-02-09
002179.SZ,0.021209942024580434,0.0218590940744342,11,2025-03-19,2025-04-02
300398.SZ,0.021190244579600195,0.0225812117170131,17,2025-05-07,2026-05-28
300809.SZ,0.02118444800362421,0.0226992141884029,11,2025-01-06,2025-08-06
002881.SZ,0.021173828789626276,0.0281341014977109,21,2025-01-10,2025-12-16
002255.SZ,0.02116648348818284,0.026347979458699,14,2025-03-26,2025-12-11
603657.SH,0.021161771543893048,0.0246536226375849,17,2025-06-09,2025-07-02
000868.SZ,0.021149834466061473,0.0220546357159823,4,2025-02-26,2025-03-03
300092.SZ,0.021143833379942367,0.0213897350878787,3,2025-09-19,2025-09-23
002131.SZ,0.021136376691394496,0.0262399339470698,31,2025-01-06,2026-01-20
603773.SH,0.0211254623006626,0.0245344245946874,30,2026-01-05,2026-06-24
000592.SZ,0.02112184791776522,0.025603816755503,29,2025-10-21,2026-03-30
