symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
002340.SZ,eastmoney,1,False,eastmoney,,
002352.SZ,eastmoney,1,False,eastmoney,,
002353.SZ,eastmoney,1,False,eastmoney,,
002371.SZ,eastmoney,1,False,eastmoney,,
002384.SZ,eastmoney,1,False,eastmoney,,
002402.SZ,eastmoney,1,False,eastmoney,,
002407.SZ,eastmoney,1,False,eastmoney,,
002409.SZ,eastmoney,1,False,eastmoney,,
002414.SZ,eastmoney,1,False,eastmoney,,
002415.SZ,eastmoney,1,False,eastmoney,,
002422.SZ,eastmoney,1,False,eastmoney,,
002423.SZ,eastmoney,1,False,eastmoney,,
002429.SZ,eastmoney,1,False,eastmoney,,
002430.SZ,eastmoney,1,False,eastmoney,,
002432.SZ,eastmoney,1,False,eastmoney,,
002436.SZ,eastmoney,1,False,eastmoney,,
002444.SZ,eastmoney,1,False,eastmoney,,
002460.SZ,eastmoney,1,False,eastmoney,,
002461.SZ,eastmoney,1,False,eastmoney,,
002463.SZ,eastmoney,1,False,eastmoney,,
002465.SZ,eastmoney,1,False,eastmoney,,
002466.SZ,eastmoney,1,False,eastmoney,,
002472.SZ,eastmoney,1,False,eastmoney,,
002475.SZ,eastmoney,1,False,eastmoney,,
002487.SZ,eastmoney,1,False,eastmoney,,
002493.SZ,eastmoney,1,False,eastmoney,,
002500.SZ,eastmoney,1,False,eastmoney,,
002508.SZ,eastmoney,1,False,eastmoney,,
002517.SZ,eastmoney,1,False,eastmoney,,
002532.SZ,eastmoney,1,False,eastmoney,,
002558.SZ,eastmoney,1,False,eastmoney,,
002568.SZ,eastmoney,1,False,eastmoney,,
002583.SZ,eastmoney,1,False,eastmoney,,
002594.SZ,eastmoney,1,False,eastmoney,,
002601.SZ,eastmoney,1,False,eastmoney,,
002602.SZ,eastmoney,1,False,eastmoney,,
002603.SZ,eastmoney,1,False,eastmoney,,
002608.SZ,eastmoney,1,False,eastmoney,,
002624.SZ,eastmoney,1,False,eastmoney,,
002625.SZ,eastmoney,1,False,eastmoney,,
